instance,scene,miou_online,f1_online,miou_refined,f1_refined
Instance_1,Cantina,0.4939027428627014,0.6508647203445435,0.6175925731658936,0.758415699005127
Instance_1,Garden,0.48746997117996216,0.6460602283477783,0.514936625957489,0.6633053421974182
Instance_1,Lounge,0.5434349179267883,0.70070481300354,0.6011884808540344,0.7497267127037048
Instance_1,Lunch_room,0.3854987323284149,0.5364416837692261,0.47738116979599,0.6336292624473572
Instance_1,Meeting_room,0.49678775668144226,0.6588924527168274,0.5498468279838562,0.7035489082336426
Instance_1,Playground,0.3872796297073364,0.5416314601898193,0.345150351524353,0.5039998292922974
Instance_1,Porch,0.5684413313865662,0.7165758013725281,0.7112733721733093,0.8281780481338501
Instance_1,Pots,0.6075090169906616,0.7527415752410889,0.6491683125495911,0.7830295562744141
Instance_1,Printing_area,0.6094927787780762,0.7480366230010986,0.6938740015029907,0.8165283799171448
Instance_1,Zen,0.4711284637451172,0.6039533615112305,0.6238170862197876,0.7299330234527588
Instance_2,Cantina,0.4900600016117096,0.6482107043266296,0.5508725643157959,0.7036005258560181
Instance_2,Garden,0.5036367177963257,0.6675927639007568,0.5527894496917725,0.7116346955299377
Instance_2,Lounge,0.4765855669975281,0.6404100060462952,0.4701119661331177,0.6294756531715393
Instance_2,Lunch_room,0.3782693147659302,0.5314130187034607,0.48942384123802185,0.6458572149276733
Instance_2,Meeting_room,0.45868611335754395,0.6215490102767944,0.524093508720398,0.6811288595199585
Instance_2,Playground,0.3639819324016571,0.5186226963996887,0.3145870864391327,0.4644887447357178
Instance_2,Porch,0.5289972424507141,0.6845905780792236,0.6538058519363403,0.7880135178565979
Instance_2,Pots,0.568524181842804,0.719473123550415,0.6291192770004272,0.7677554488182068
Instance_2,Printing_area,0.5069904923439026,0.6645535230636597,0.5743014812469482,0.7251545786857605
Instance_2,Zen,0.447660893201828,0.5942038893699646,0.6030896306037903,0.7303300499916077
