scene,method,budget,seed,miou_selected,f1_selected,miou_query,f1_query
Instance_1/Cantina,all,25,0,0.5013022422790527,0.6575753688812256,0.5653799176216125,0.7156063914299011
Instance_1/Cantina,uniform,3,0,0.44731393456459045,0.6165803074836731,0.43014734983444214,0.5871390104293823
Instance_1/Cantina,nbv,3,0,0.5182304382324219,0.6675425171852112,0.4078289270401001,0.5700483918190002
Instance_1/Cantina,random,3,0,0.3538723289966583,0.5222544074058533,0.25840136408805847,0.39684563875198364
Instance_1/Cantina,random,3,1,0.588266909122467,0.7380263805389404,0.4540710151195526,0.6135258674621582
Instance_1/Cantina,uniform,5,0,0.5032833218574524,0.6638281941413879,0.47071540355682373,0.6325848698616028
Instance_1/Cantina,nbv,5,0,0.5236400365829468,0.6773492693901062,0.446371465921402,0.610818088054657
Instance_1/Cantina,random,5,0,0.35334688425064087,0.5209223031997681,0.3326144516468048,0.48781004548072815
Instance_1/Cantina,random,5,1,0.4780581593513489,0.6396805047988892,0.49302512407302856,0.6554101705551147
Instance_1/Garden,all,25,0,0.4781491160392761,0.6383030414581299,0.44422686100006104,0.6037321090698242
Instance_1/Garden,uniform,3,0,0.4998929500579834,0.6546520590782166,0.39394333958625793,0.5623838305473328
Instance_1/Garden,nbv,3,0,0.5026101469993591,0.6653110384941101,0.4994547367095947,0.6653916835784912
Instance_1/Garden,random,3,0,0.5603161454200745,0.7142391800880432,0.5134683847427368,0.6777254343032837
Instance_1/Garden,random,3,1,0.42159008979797363,0.5925269722938538,0.43512076139450073,0.6025840640068054
Instance_1/Garden,uniform,5,0,0.5149534940719604,0.6742104887962341,0.5056765079498291,0.6709047555923462
Instance_1/Garden,nbv,5,0,0.48488521575927734,0.6503732800483704,0.4985266923904419,0.6644711494445801
Instance_1/Garden,random,5,0,0.5226696729660034,0.6817256212234497,0.5136987566947937,0.6776033639907837
Instance_1/Garden,random,5,1,0.4387570321559906,0.5960605144500732,0.4341839849948883,0.6023217439651489
Instance_1/Lounge,all,25,0,0.5264671444892883,0.6775882840156555,0.5346099734306335,0.6911781430244446
