scene,scalar,spearman_tp_purity,weighted_spearman,auroc_tp_supported,n_valid,frac_tp_supported
Cantina,m,0.04487812731549891,-0.045235616686726494,0.535121002761589,26168,0.6423876490369917
Cantina,a,-0.047224510493278006,-0.0576749636398654,0.5143674465847187,26168,0.6423876490369917
Cantina,b,-0.11034823662341503,-0.10417653244771308,0.45250181840743237,26168,0.6423876490369917
Cantina,kappa,-0.07126106886909499,-0.067046698027679,0.4955635626368097,26168,0.6423876490369917
Cantina,e_pos,-0.047224510493278006,-0.0576749636398654,0.5143674465847187,26168,0.6423876490369917
Cantina,e_neg,-0.11034823662341503,-0.10417653244771308,0.45250181840743237,26168,0.6423876490369917
Cantina,support,-0.07126106886909499,-0.067046698027679,0.4955635626368097,26168,0.6423876490369917
Cantina,n_view,-0.07529887017057245,-0.0653052471469312,0.4909061828904039,26168,0.6423876490369917
Cantina,agreement,0.21697164939215757,-0.028402207346295536,0.6323445066168926,26168,0.6423876490369917
Cantina,uncertainty,-0.10881434749821428,-0.0957931357930943,0.4182158972481879,26168,0.6423876490369917
Cantina,cue_variance,-0.19757065742071442,-0.09950551115209008,0.4045673970258851,26168,0.6423876490369917
Cantina,pos_neg_ratio,0.104645112960041,-0.03909005209022325,0.5454656400775091,26168,0.6423876490369917
Cantina,loo_min,0.1365023097122945,-0.04496458489934706,0.5831678278495471,26168,0.6423876490369917
Cantina,loo_median,0.22682440226657702,-0.02500626662203366,0.6367713704034595,26168,0.6423876490369917
Cantina,loo_max,0.1386362702456059,-0.03084901579621305,0.583763741674135,26168,0.6423876490369917
Cantina,n_agree,-0.07415384892043225,-0.06224740767060339,0.49244023729756115,26168,0.6423876490369917
Cantina,n_conflict,0.04078342432383309,-0.04034220824599756,0.5224858586322194,26168,0.6423876490369917
Cantina,n_loo_valid,-0.07427088728236718,-0.06307694957490956,0.49175255444765104,26168,0.6423876490369917
Cantina,observability,-0.12627470132100888,-0.06350664198340138,0.4424428309358495,26168,0.6423876490369917
Cantina,g_raw,-0.12883434105736336,-0.06361825424547964,0.44167756778772443,26168,0.6423876490369917
Cantina,eig_min,-0.08154158163939038,-0.05158497495828006,0.4716729882361976,26168,0.6423876490369917
Cantina,eig_max,-0.15006673120518435,-0.06808452967644804,0.4281143715658926,26168,0.6423876490369917
Cantina,condition,-0.0953724330087657,-0.05911987461007124,0.3867481102992995,26168,0.6423876490369917
Cantina,n_dir_obs,-0.03278440560849427,-0.05312903264608276,0.5099841788064408,26168,0.6423876490369917
Cantina,c_raw,0.0906495824716161,-0.04067152372212112,0.5779645063143014,26168,0.6423876490369917
Cantina,confidence,-0.0864741263948094,-0.06021099714238229,0.48141579975790166,26168,0.6423876490369917
Cantina,verification,0.11753086674932757,-0.03878456120764549,0.5124898304586963,26168,0.6423876490369917
Garden,m,-0.14467598695178863,-0.17499769036460758,0.45134087089643293,27702,0.21186195942531225
Garden,a,0.2577741721574701,-0.12673616515379837,0.5874269791437234,27702,0.21186195942531225
Garden,b,0.236147734744342,-0.14910151800569663,0.571182687848028,27702,0.21186195942531225
Garden,kappa,0.3159076255395672,-0.12011562156530863,0.6201019000806451,27702,0.21186195942531225
Garden,e_pos,0.2577741721574701,-0.12673616515379837,0.5874269791437234,27702,0.21186195942531225
Garden,e_neg,0.236147734744342,-0.14910151800569663,0.571182687848028,27702,0.21186195942531225
Garden,support,0.3159076255395672,-0.12011562156530863,0.6201019000806451,27702,0.21186195942531225
Garden,n_view,0.2722784127796528,-0.12452000122017848,0.6297889421095997,27702,0.21186195942531225
Garden,agreement,0.06494457970229033,-0.1666609239617598,0.5648342293044234,27702,0.21186195942531225
Garden,uncertainty,-0.16271405861032232,-0.19865728449332276,0.4076011732268672,27702,0.21186195942531225
Garden,cue_variance,0.23249812480623383,-0.11839247190477625,0.5692010879811907,27702,0.21186195942531225
Garden,pos_neg_ratio,-0.1393293228598536,-0.16733113548845316,0.447778754754927,27702,0.21186195942531225
Garden,loo_min,-0.09062838051190296,-0.18638139140551555,0.4823837841483826,27702,0.21186195942531225
Garden,loo_median,0.11065877160215161,-0.15723762574821284,0.5867668308567341,27702,0.21186195942531225
Garden,loo_max,0.22506594995865437,-0.13313359393970195,0.6205663373055572,27702,0.21186195942531225
Garden,n_agree,0.24352934234160978,-0.13216553535670908,0.6132947481250997,27702,0.21186195942531225
Garden,n_conflict,0.28683228841208014,-0.10884735125318692,0.6098209040875556,27702,0.21186195942531225
Garden,n_loo_valid,0.2718707476018574,-0.12447840162985199,0.6302422663050676,27702,0.21186195942531225
Garden,observability,-0.1759592897622054,-0.17460449114029494,0.37640070312699186,27702,0.21186195942531225
Garden,g_raw,-0.18816960851340286,-0.17504711630646758,0.3754402767262954,27702,0.21186195942531225
Garden,eig_min,-0.0935374711036942,-0.1504002770458854,0.41450642264035636,27702,0.21186195942531225
Garden,eig_max,-0.21044591720163083,-0.17882062167286703,0.36570737784269675,27702,0.21186195942531225
Garden,condition,-0.16149847437714315,-0.1795438870785563,0.37487269279480884,27702,0.21186195942531225
Garden,n_dir_obs,0.36272340499904054,-0.10357138205718193,0.6623187537280644,27702,0.21186195942531225
Garden,c_raw,-0.11054479272943311,-0.17406958077463403,0.4838920345152901,27702,0.21186195942531225
Garden,confidence,0.0593125094026167,-0.13859888165464063,0.47229507322023134,27702,0.21186195942531225
Garden,verification,-0.25642343275561885,-0.19959124908468887,0.4417620794513398,27702,0.21186195942531225
Lounge,m,0.040083612559902025,-0.03904176210269494,0.5592906742928638,7696,0.25285862785862784
Lounge,a,0.6099323438570445,0.093170757587516,0.7901725725010054,7696,0.25285862785862784
Lounge,b,0.507040489217072,0.08370184712060905,0.7090802984941239,7696,0.25285862785862784
Lounge,kappa,0.6366717517213609,0.10575228253065824,0.7891459850752938,7696,0.25285862785862784
Lounge,e_pos,0.6099323438570445,0.093170757587516,0.7901725725010054,7696,0.25285862785862784
Lounge,e_neg,0.507040489217072,0.08370184712060905,0.7090802984941239,7696,0.25285862785862784
Lounge,support,0.6366717517213609,0.10575228253065824,0.7891459850752938,7696,0.25285862785862784
Lounge,n_view,0.5851211799735831,0.08305129103321153,0.8050483935832701,7696,0.25285862785862784
Lounge,agreement,0.5855732368409898,0.12076486546409892,0.7659638947227312,7696,0.25285862785862784
Lounge,uncertainty,-0.46585088640947725,-0.14503496705585012,0.2133260646141472,7696,0.25285862785862784
Lounge,cue_variance,0.5202312607169591,0.10398965052897206,0.7560334241923231,7696,0.25285862785862784
Lounge,pos_neg_ratio,-0.17088915169575442,-0.052300182237341626,0.45807104875106125,7696,0.25285862785862784
Lounge,loo_min,0.5209455998765573,0.12208324238267552,0.7180504937664774,7696,0.25285862785862784
Lounge,loo_median,0.5945521822121044,0.12223033265339564,0.7735775503820546,7696,0.25285862785862784
Lounge,loo_max,0.6063397931760862,0.12495943948560484,0.7715584253094419,7696,0.25285862785862784
Lounge,n_agree,0.6668407939720071,0.13898891106381378,0.7985371106841235,7696,0.25285862785862784
Lounge,n_conflict,0.3728325364591716,0.07204240479952821,0.6952475981947361,7696,0.25285862785862784
Lounge,n_loo_valid,0.6612967549938892,0.126880435056211,0.809535010500916,7696,0.25285862785862784
Lounge,observability,-0.021126152323201072,-0.03177656495456322,0.485397828321194,7696,0.25285862785862784
Lounge,g_raw,-0.005639092080494404,-0.031380726415018656,0.4988684034139148,7696,0.25285862785862784
Lounge,eig_min,0.16483185273315398,0.002704031300613701,0.5724940345859958,7696,0.25285862785862784
Lounge,eig_max,-0.14956856176538486,-0.05365755812614808,0.42745573975602125,7696,0.25285862785862784
Lounge,condition,-0.6083486422210327,-0.15205610150222884,0.1912789668886009,7696,0.25285862785862784
Lounge,n_dir_obs,0.6219037634342982,0.09757056985608095,0.8247739398543277,7696,0.25285862785862784
Lounge,c_raw,-0.05829962288938103,-0.0573693447766053,0.5328882434425131,7696,0.25285862785862784
Lounge,confidence,0.6216717947723877,0.12165016890405456,0.7714519862370973,7696,0.25285862785862784
Lounge,verification,-0.5791302538579332,-0.1295092985744846,0.23491299879351177,7696,0.25285862785862784
Lunch_room,m,0.19558550814793182,0.07664258744320111,0.6035613684525033,12629,0.39805210230422045
Lunch_room,a,0.055442356857194584,0.07129315549057953,0.4972124743695279,12629,0.39805210230422045
Lunch_room,b,-0.1758575230125131,0.018272910608238976,0.37934231707579386,12629,0.39805210230422045
Lunch_room,kappa,-0.09979082315913464,0.04865753187471915,0.41632307350358055,12629,0.39805210230422045
Lunch_room,e_pos,0.055442356857194584,0.07129315549057953,0.4972124743695279,12629,0.39805210230422045
Lunch_room,e_neg,-0.1758575230125131,0.018272910608238976,0.37934231707579386,12629,0.39805210230422045
Lunch_room,support,-0.09979082315913464,0.04865753187471915,0.41632307350358055,12629,0.39805210230422045
Lunch_room,n_view,-0.18732284009373534,0.01517824914586384,0.3803425459372846,12629,0.39805210230422045
Lunch_room,agreement,-0.12195324924487537,0.012017239230388064,0.4636476575558022,12629,0.39805210230422045
Lunch_room,uncertainty,-0.07330264579731088,0.03207994640523428,0.4369324354091693,12629,0.39805210230422045
Lunch_room,cue_variance,0.1601462823196445,0.07033417601503945,0.548515208089419,12629,0.39805210230422045
Lunch_room,pos_neg_ratio,0.21529145563417193,0.08288053499873359,0.6088920146913063,12629,0.39805210230422045
Lunch_room,loo_min,-0.14247024550414852,-0.003917127614292128,0.4585138960478975,12629,0.39805210230422045
Lunch_room,loo_median,-0.10063163618350802,0.01706205129446997,0.47340944011519587,12629,0.39805210230422045
Lunch_room,loo_max,-0.09825680167968917,0.02999383049950654,0.448369412905119,12629,0.39805210230422045
Lunch_room,n_agree,-0.22009410376035463,0.008345187345273354,0.36863790045723627,12629,0.39805210230422045
Lunch_room,n_conflict,0.1275314685206027,0.08920294232063965,0.5404349268488442,12629,0.39805210230422045
Lunch_room,n_loo_valid,-0.18732284009373534,0.01517824914586384,0.3803425459372846,12629,0.39805210230422045
Lunch_room,observability,0.07236074551537412,0.06988384225640128,0.526448156016443,12629,0.39805210230422045
Lunch_room,g_raw,0.08433994866083426,0.07004959760239221,0.531803635270879,12629,0.39805210230422045
Lunch_room,eig_min,0.1037344731741975,0.07916808965552172,0.5398051259845087,12629,0.39805210230422045
Lunch_room,eig_max,0.07699328423079566,0.0676631948305056,0.5291779298392207,12629,0.39805210230422045
Lunch_room,condition,-0.0843126503130166,0.04709408465711789,0.4602974246880578,12629,0.39805210230422045
Lunch_room,n_dir_obs,-0.1738820906709849,0.012475868992765022,0.3887072947362851,12629,0.39805210230422045
Lunch_room,c_raw,0.2877266562248806,0.12254773295699783,0.6642014992233206,12629,0.39805210230422045
Lunch_room,confidence,-0.02472020726388034,0.06057196545524569,0.47048869543036403,12629,0.39805210230422045
Lunch_room,verification,0.12529291715501606,0.1054778288953942,0.5841556881971791,12629,0.39805210230422045
Meeting_room,m,0.22315904905795345,0.13565039205562046,0.6414080713277002,13479,0.3575932932710142
Meeting_room,a,0.2641703780759724,0.14340790198685152,0.6221821825467374,13479,0.3575932932710142
Meeting_room,b,-0.13688867527429532,0.0485427227808159,0.37779493573711953,13479,0.3575932932710142
Meeting_room,kappa,0.16551412550904476,0.12170955618181688,0.5608319408631032,13479,0.3575932932710142
Meeting_room,e_pos,0.2641703780759724,0.14340790198685152,0.6221821825467374,13479,0.3575932932710142
Meeting_room,e_neg,-0.13688867527429532,0.0485427227808159,0.37779493573711953,13479,0.3575932932710142
Meeting_room,support,0.16551412550904476,0.12170955618181688,0.5608319408631032,13479,0.3575932932710142
Meeting_room,n_view,0.2126766931715744,0.14320167594029384,0.616357935211439,13479,0.3575932932710142
Meeting_room,agreement,0.24785597025133213,0.1531835424597351,0.6570828375628169,13479,0.3575932932710142
Meeting_room,uncertainty,-0.3386439667462825,0.05565773122807546,0.28356227828096253,13479,0.3575932932710142
Meeting_room,cue_variance,-0.2126621143523684,0.05683490738543317,0.35537406454512827,13479,0.3575932932710142
Meeting_room,pos_neg_ratio,0.2580433466671986,0.15012883870614044,0.6563312630371873,13479,0.3575932932710142
Meeting_room,loo_min,0.11673407354673881,0.11210832057407304,0.5752807502711064,13479,0.3575932932710142
Meeting_room,loo_median,0.26368041674172993,0.1548121276084299,0.6646992144503189,13479,0.3575932932710142
Meeting_room,loo_max,0.21847884806524054,0.15598089123986825,0.6127882437336444,13479,0.3575932932710142
Meeting_room,n_agree,0.21895864532446843,0.15002118250362753,0.6174108295927917,13479,0.3575932932710142
Meeting_room,n_conflict,-0.1011537508805942,0.09761150431910934,0.46698590055007166,13479,0.3575932932710142
Meeting_room,n_loo_valid,0.21328050044387212,0.14600773771295117,0.6166806752286614,13479,0.3575932932710142
Meeting_room,observability,0.08002395682697229,0.11819136651986359,0.5393246850828941,13479,0.3575932932710142
Meeting_room,g_raw,0.07939851837979658,0.11766982909925915,0.5382936181815481,13479,0.3575932932710142
Meeting_room,eig_min,0.14271134300415675,0.13601428249184497,0.5676579521271371,13479,0.3575932932710142
Meeting_room,eig_max,0.02821735511320947,0.10800949294812547,0.5106929254525668,13479,0.3575932932710142
Meeting_room,condition,-0.2477593878391808,0.07039814066164886,0.35949159941518644,13479,0.3575932932710142
Meeting_room,n_dir_obs,0.4137795677812322,0.21875879206297347,0.7465650830282837,13479,0.3575932932710142
Meeting_room,c_raw,0.3213073201541704,0.17606122412323966,0.7221879329256634,13479,0.3575932932710142
Meeting_room,confidence,0.131413664772275,0.11745765647176074,0.5490592380077045,13479,0.3575932932710142
Meeting_room,verification,-0.056857511943139115,0.12485525047774428,0.5010470481627779,13479,0.3575932932710142
