scene,phase,combo,miou_query,f1_query
Lunch_room,local3,1-5-20-22-23,0.405229,0.552152
Garden,local3,1-4-5-13-14,0.497322,0.660253
Pots,local3,0-8-10-16-24,0.609185,0.754350
Printing_area,local3,2-9-12-16-23,0.637181,0.774829
Zen,local3,2-5-12-13-15,0.467749,0.609719
Cantina,local3,5-7-20-23-24,0.494238,0.656120
Porch,local3,5-8-20-22-23,0.557585,0.707871
Lounge,local3,5-9-17-19-24,0.518703,0.680955
Lunch_room,local3,1-5-12-20-22,0.376676,0.523414
Garden,local3,2-13-14-16-22,0.479148,0.643813
Pots,local3,0-7-8-10-20,0.601562,0.748180
Printing_area,local3,7-8-9-11-12,0.652576,0.777437
Zen,local3,10-15-16-17-19,0.528209,0.686768
Cantina,local3,3-4-5-20-23,0.468590,0.631983
Porch,local3,5-15-18-20-23,0.630429,0.769209
Lounge,restart3,3-5-11-19-22,0.555477,0.712506
Lunch_room,local3,3-5-7-12-19,0.266231,0.396416
Garden,local3,4-5-7-11-14,0.494867,0.661075
Pots,local3,0-7-16-17-24,0.617981,0.761014
Printing_area,local3,1-2-9-12-24,0.519857,0.668697
Zen,local3,2-12-13-15-24,0.441292,0.585403
Cantina,local3,3-5-9-15-20,0.501627,0.661039
Porch,local3,5-8-10-20-23,0.619173,0.757732
Lounge,local3,3-5-19-20-24,0.544634,0.703130
Garden,local3,4-7-11-16-24,0.507259,0.672116
Pots,local3,0-7-17-18-21,0.619786,0.761913
Lunch_room,local3,1-5-16-17-24,0.385505,0.533941
Printing_area,local3,2-9-12-16-17,0.615665,0.758644
Zen,local3,2-5-12-15-16,0.546856,0.701889
Cantina,local3,3-9-10-14-20,0.545937,0.697453
Porch,local3,5-7-8-15-23,0.532531,0.687052
Lounge,local3,0-3-10-19-22,0.575390,0.729221
Garden,local3,4-11-16-19-21,0.514162,0.677717
Pots,local3,0-1-7-17-21,0.613487,0.756710
Printing_area,local3,11-16-18-20-23,0.622928,0.756046
Lunch_room,local3,1-3-5-7-20,0.414707,0.565817
Zen,local3,7-11-16-17-23,0.461432,0.623990
Porch,local3,5-6-8-13-15,0.521889,0.677781
Cantina,local3,3-5-10-14-16,0.471954,0.635818
Lounge,local3,0-3-10-22-23,0.544952,0.701847
Garden,local3,1-12-14-16-22,0.529091,0.691247
Pots,local3,7-10-18-20-21,0.624127,0.765040
Printing_area,local3,2-8-12-18-23,0.636723,0.775037
Zen,local3,1-2-12-15-23,0.542921,0.697000
Lunch_room,local3,1-5-16-20-22,0.398162,0.547307
Cantina,local3,3-4-19-20-23,0.457231,0.621827
Lounge,local3,3-4-9-10-22,0.529420,0.691671
Garden,local3,1-5-14-16-20,0.542557,0.703172
Pots,local3,10-16-18-20-21,0.613319,0.756795
Printing_area,local3,1-2-12-18-24,0.548175,0.698388
Zen,local3,1-2-12-15-16,0.553276,0.706946
Lunch_room,local3,1-5-13-20-22,0.406738,0.555898
Cantina,local3,3-10-14-20-21,0.511484,0.667803
Garden,local3,4-5-10-14-16,0.499379,0.665598
Pots,local3,7-18-20-22-23,0.616549,0.759625
Lounge,local3,0-10-18-19-22,0.592776,0.743863
Printing_area,local3,2-9-13-16-21,0.620605,0.761585
Zen,local3,1-2-9-14-23,0.490843,0.649436
Lunch_room,local3,3-5-8-11-13,0.310276,0.448495
Garden,local3,1-5-14-16-22,0.532576,0.694492
Cantina,local3,7-9-14-20-23,0.484693,0.634469
Printing_area,local3,0-2-3-16-21,0.507497,0.657511
Pots,local3,7-10-15-16-21,0.636004,0.774539
Lounge,local3,7-14-18-19-22,0.537591,0.697654
Zen,local3,12-15-16-20-23,0.554665,0.709956
Lunch_room,local3,0-1-5-20-22,0.391511,0.540972
Garden,local3,4-12-14-15-16,0.517154,0.681303
Cantina,local3,4-9-10-16-19,0.497108,0.652564
Printing_area,local3,2-6-9-11-12,0.607835,0.751358
Pots,local3,7-10-15-19-23,0.623168,0.764650
Lounge,local3,0-13-14-18-20,0.582441,0.735657
Zen,local3,2-6-15-16-23,0.444543,0.610478
Garden,local3,1-2-4-23-24,0.469426,0.627977
Cantina,local3,3-9-10-11-20,0.519753,0.672866
Printing_area,local3,2-10-11-12-16,0.688290,0.813238
Lunch_room,local3,1-5-14-20-22,0.409888,0.557679
Lounge,local3,10-12-18-19-22,0.574893,0.729459
Pots,local3,7-10-13-16-21,0.630794,0.770564
Zen,local3,12-13-15-16-23,0.471711,0.612552
Garden,local3,1-5-8-11-14,0.531031,0.692389
Cantina,local3,3-8-10-14-20,0.505994,0.661537
Printing_area,local3,2-5-8-10-11,0.635231,0.773581
Lunch_room,local3,1-3-13-20-22,0.421017,0.574405
Lounge,local3,0-10-18-19-20,0.599415,0.749216
Zen,local3,2-11-15-16-23,0.579273,0.730275
Garden,local3,1-3-5-14-16,0.530725,0.693203
Cantina,local3,5-6-9-14-20,0.456039,0.605208
Printing_area,local3,10-11-12-16-20,0.649373,0.776054
Lounge,local3,7-10-14-17-19,0.549348,0.708372
Zen,local3,2-9-11-15-16,0.548606,0.703811
Lunch_room,local3,1-3-9-13-14,0.388900,0.540034
Garden,local3,1-5-14-16-17,0.539158,0.700328
Cantina,local3,3-9-13-14-20,0.534012,0.688326
Printing_area,local3,2-10-12-14-16,0.674007,0.803217
Lounge,local3,0-10-18-23-24,0.595707,0.746259
Zen,local3,2-10-11-15-16,0.555356,0.708276
Lunch_room,local3,3-5-6-20-22,0.317363,0.456659
