scene,method,seed,combo,greedy_order,miou_replay,f1_replay,first_frame_id,frame0_selected,frame0_global_rank,selection_seconds,replay_seconds,gctx_hash,gctx_build_seconds,manifest_path
Cantina,kf_l_dir_gseed,2,9-10-16-17-22,9-16-17-10-22,0.515543,0.670035,9,False,0.9166666666666666,37.9,38.0,be14f1124bb64bc4,32.8,outputs/change_nbv/keyframe/Cantina/kf_l_dir_gseed/ts2_20260720_143524/selection_manifest.json
Cantina,kf_gu_dir,2,0-9-11-15-17,9-17-0-15-11,0.499994,0.654351,9,True,0.9166666666666666,42.1,38.7,be14f1124bb64bc4,32.8,outputs/change_nbv/keyframe/Cantina/kf_gu_dir/ts2_20260720_143529/selection_manifest.json
Cantina,kf_gl_dir,2,0-8-9-15-24,9-24-0-8-15,0.512447,0.664021,9,True,0.9166666666666666,43.1,38.9,be14f1124bb64bc4,32.8,outputs/change_nbv/keyframe/Cantina/kf_gl_dir/ts2_20260720_143535/selection_manifest.json
Cantina,uniform,2,2-7-12-17-22,2-7-12-17-22,0.436566,0.600146,2,False,,0,38.1,,,
Porch,uniform,0,0-5-10-15-20,0-5-10-15-20,0.494815,0.654329,0,True,,0,35.5,,,
Cantina,uniform,2,3-8-13-18-23,3-8-13-18-23,0.471347,0.631363,3,False,,0,37.5,,,
Porch,dopt_seq_dir,0,0-6-7-17-19,0-19-6-17-7,0.448664,0.607893,0,True,,34.2,61.0,,,
Porch,uniform,0,1-6-11-16-21,1-6-11-16-21,0.556590,0.692263,1,False,,0,65.7,,,
Cantina,kf_glu_dir,2,0-9-10-15-24,9-24-0-15-10,0.517402,0.668457,9,True,0.9166666666666666,49.7,74.7,be14f1124bb64bc4,32.8,outputs/change_nbv/keyframe/Cantina/kf_glu_dir/ts2_20260720_143621/selection_manifest.json
Cantina,kf_glu_nodir,2,3-4-5-6-15,4-6-5-15-3,0.447986,0.612984,4,False,0.25,46.0,74.3,be14f1124bb64bc4,32.8,outputs/change_nbv/keyframe/Cantina/kf_glu_nodir/ts2_20260720_143627/selection_manifest.json
