scene,method,seed,combo,greedy_order,miou_replay,f1_replay,first_frame_id,frame0_selected,frame0_global_rank,selection_seconds,replay_seconds,gctx_hash,gctx_build_seconds,manifest_path
Garden,uniform,0,0-5-10-15-20,0-5-10-15-20,0.507991,0.673503,0,True,,0,51.0,,,
Garden,dopt_seq_dir,2,0-3-5-6-7,0-7-5-3-6,0.488664,0.656195,0,True,,34.9,62.3,,,
Garden,uniform,1,1-6-11-16-21,1-6-11-16-21,0.504416,0.668669,1,False,,0,67.8,,,
Garden,dopt_seq_dir,1,0-3-5-6-7,0-7-5-3-6,0.470009,0.633839,0,True,,35.2,92.3,,,
Garden,dopt_seq_dir,0,0-3-4-6-7,0-7-4-3-6,0.499480,0.665872,0,True,,34.5,93.6,,,
Garden,kf_l_dir_gseed,1,3-10-11-12-23,12-10-11-23-3,0.474540,0.641451,12,False,0.2916666666666667,40.2,94.2,3ef703551f66a7e5,32.9,outputs/change_nbv/keyframe/Garden/kf_l_dir_gseed/ts1_20260720_152551/selection_manifest.json
Garden,uniform,2,1-6-11-16-21,1-6-11-16-21,0.506826,0.671157,1,False,,0,85.4,,,
Garden,uniform,0,1-6-11-16-21,1-6-11-16-21,0.504810,0.669139,1,False,,0,84.0,,,
Garden,kf_l_dir_gseed,0,3-10-11-12-23,12-10-11-23-3,0.456526,0.620548,12,False,0.2916666666666667,39.8,95.5,385557c2033b9ac5,31.4,outputs/change_nbv/keyframe/Garden/kf_l_dir_gseed/ts0_20260720_152551/selection_manifest.json
Garden,uniform,1,2-7-12-17-22,2-7-12-17-22,0.489192,0.655504,2,False,,0,41.2,,,
Lounge,uniform,0,0-5-10-15-20,0-5-10-15-20,0.582423,0.735718,0,True,,0,38.0,,,
Garden,uniform,0,2-7-12-17-22,2-7-12-17-22,0.489180,0.655518,2,False,,0,34.9,,,
Garden,uniform,2,2-7-12-17-22,2-7-12-17-22,0.488506,0.654878,2,False,,0,38.4,,,
Lounge,uniform,1,0-5-10-15-20,0-5-10-15-20,0.581919,0.735364,0,True,,0,38.7,,,
Garden,kf_l_dir_gseed,2,3-10-11-12-23,12-10-11-23-3,0.475285,0.641799,12,False,0.2916666666666667,48.4,36.8,a981a1c6f420572d,33.4,outputs/change_nbv/keyframe/Garden/kf_l_dir_gseed/ts2_20260720_152737/selection_manifest.json
Garden,uniform,1,3-8-13-18-23,3-8-13-18-23,0.428432,0.592866,3,False,,0,36.8,,,
Lounge,dopt_seq_dir,0,0-4-18-21-24,0-24-4-21-18,0.567092,0.723245,0,True,,33.9,38.1,,,
Lounge,uniform,0,1-6-11-16-21,1-6-11-16-21,0.564665,0.719340,1,False,,0,38.0,,,
Lounge,kf_l_dir_gseed,0,5-7-16-21-24,16-24-21-5-7,0.526079,0.686955,16,False,0.16666666666666666,35.9,42.2,fa50db2604d3d404,32.9,outputs/change_nbv/keyframe/Lounge/kf_l_dir_gseed/ts0_20260720_152804/selection_manifest.json
Garden,uniform,0,3-8-13-18-23,3-8-13-18-23,0.426407,0.589935,3,False,,0,45.9,,,
Lounge,uniform,1,1-6-11-16-21,1-6-11-16-21,0.562773,0.717580,1,False,,0,45.0,,,
Garden,uniform,2,3-8-13-18-23,3-8-13-18-23,0.429049,0.593146,3,False,,0,46.3,,,
Garden,uniform,1,4-9-14-19-24,4-9-14-19-24,0.462195,0.629728,4,False,,0,38.2,,,
Lounge,uniform,0,2-7-12-17-22,2-7-12-17-22,0.540607,0.700651,2,False,,0,38.9,,,
Lounge,uniform,2,0-5-10-15-20,0-5-10-15-20,0.581839,0.735286,0,True,,0,36.8,,,
Garden,uniform,0,4-9-14-19-24,4-9-14-19-24,0.458198,0.625672,4,False,,0,36.2,,,
Lounge,dopt_seq_dir,1,0-4-18-21-24,0-24-4-21-18,0.564241,0.720918,0,True,,35.4,36.3,,,
Garden,uniform,2,4-9-14-19-24,4-9-14-19-24,0.460832,0.628595,4,False,,0,37.7,,,
Lounge,uniform,1,2-7-12-17-22,2-7-12-17-22,0.539267,0.699475,2,False,,0,38.9,,,
Lounge,kf_l_dir_gseed,1,5-7-16-21-24,16-21-24-5-7,0.524072,0.685261,16,False,0.16666666666666666,39.3,38.2,1fefcbac3e29e8e1,31.9,outputs/change_nbv/keyframe/Lounge/kf_l_dir_gseed/ts1_20260720_152914/selection_manifest.json
Lounge,uniform,0,3-8-13-18-23,3-8-13-18-23,0.552435,0.710188,3,False,,0,37.9,,,
Lounge,uniform,2,1-6-11-16-21,1-6-11-16-21,0.558587,0.714224,1,False,,0,35.9,,,
Lounge,uniform,1,3-8-13-18-23,3-8-13-18-23,0.554051,0.711431,3,False,,0,36.7,,,
Lunch_room,uniform,0,0-5-10-15-20,0-5-10-15-20,0.352515,0.500609,0,True,,0,42.2,,,
Lounge,dopt_seq_dir,2,0-3-4-21-24,0-24-4-21-3,0.567879,0.724087,0,True,,34.3,36.9,,,
Lounge,uniform,0,4-9-14-19-24,4-9-14-19-24,0.489884,0.655848,4,False,,0,36.8,,,
Lounge,uniform,2,2-7-12-17-22,2-7-12-17-22,0.540427,0.700488,2,False,,0,36.6,,,
Lounge,kf_l_dir_gseed,2,5-7-16-21-24,16-24-21-5-7,0.494535,0.652173,16,False,0.16666666666666666,36.3,36.2,cc775649dae4e578,37.1,outputs/change_nbv/keyframe/Lounge/kf_l_dir_gseed/ts2_20260720_153003/selection_manifest.json
Lounge,uniform,1,4-9-14-19-24,4-9-14-19-24,0.488412,0.654501,4,False,,0,36.2,,,
Lunch_room,uniform,0,1-6-11-16-21,1-6-11-16-21,0.391410,0.535934,1,False,,0,47.6,,,
Lunch_room,dopt_seq_dir,0,0-2-11-21-22,0-22-21-2-11,0.353879,0.503859,0,True,,39.7,47.6,,,
Lunch_room,uniform,1,0-5-10-15-20,0-5-10-15-20,0.343854,0.491756,0,True,,0,43.9,,,
Lounge,uniform,2,3-8-13-18-23,3-8-13-18-23,0.552064,0.709861,3,False,,0,36.2,,,
Lunch_room,kf_l_dir_gseed,0,11-17-20-21-22,17-22-20-11-21,0.303621,0.443151,17,False,0.5833333333333334,42.9,44.4,d703e259d7ccecce,39.6,outputs/change_nbv/keyframe/Lunch_room/kf_l_dir_gseed/ts0_20260720_153035/selection_manifest.json
Lunch_room,uniform,2,0-5-10-15-20,0-5-10-15-20,0.362818,0.510585,0,True,,0,44.0,,,
Lunch_room,uniform,0,2-7-12-17-22,2-7-12-17-22,0.308171,0.449659,2,False,,0,42.5,,,
Lunch_room,uniform,1,1-6-11-16-21,1-6-11-16-21,0.389680,0.534986,1,False,,0,42.6,,,
Lounge,uniform,2,4-9-14-19-24,4-9-14-19-24,0.488134,0.654086,4,False,,0,37.1,,,
Lunch_room,dopt_seq_dir,1,0-2-11-21-22,0-22-21-2-11,0.360831,0.510861,0,True,,40.5,44.1,,,
Lunch_room,kf_l_dir_gseed,1,11-17-20-21-22,17-22-20-11-21,0.316196,0.459459,17,False,0.5833333333333334,43.3,42.7,b74c7d82938c17c8,37.8,outputs/change_nbv/keyframe/Lunch_room/kf_l_dir_gseed/ts1_20260720_153122/selection_manifest.json
Lunch_room,uniform,2,1-6-11-16-21,1-6-11-16-21,0.392600,0.536369,1,False,,0,42.7,,,
Lunch_room,dopt_seq_dir,2,0-2-11-21-22,0-22-21-2-11,0.363538,0.512822,0,True,,39.2,42.9,,,
Lunch_room,uniform,0,3-8-13-18-23,3-8-13-18-23,0.304232,0.448323,3,False,,0,43.2,,,
Pots,uniform,0,0-5-10-15-20,0-5-10-15-20,0.612185,0.756291,0,True,,0,36.0,,,
Lunch_room,uniform,1,2-7-12-17-22,2-7-12-17-22,0.310532,0.453004,2,False,,0,43.7,,,
Lunch_room,kf_l_dir_gseed,2,9-10-12-21-24,10-21-12-24-9,0.177688,0.282646,10,False,0.5833333333333334,42.2,43.4,207fa48e6a12c67c,37.9,outputs/change_nbv/keyframe/Lunch_room/kf_l_dir_gseed/ts2_20260720_153202/selection_manifest.json
Lunch_room,uniform,2,2-7-12-17-22,2-7-12-17-22,0.304706,0.444773,2,False,,0,42.6,,,
Pots,uniform,1,0-5-10-15-20,0-5-10-15-20,0.614339,0.757877,0,True,,0,35.5,,,
Pots,uniform,0,1-6-11-16-21,1-6-11-16-21,0.629893,0.770249,1,False,,0,35.6,,,
Pots,dopt_seq_dir,0,0-2-11-15-17,0-2-11-17-15,0.620493,0.761945,0,True,,34.8,35.1,,,
Lunch_room,uniform,0,4-9-14-19-24,4-9-14-19-24,0.273440,0.405353,4,False,,0,44.8,,,
Lunch_room,uniform,1,3-8-13-18-23,3-8-13-18-23,0.307662,0.451949,3,False,,0,44.1,,,
Pots,kf_l_dir_gseed,0,2-3-5-9-22,9-2-3-22-5,0.601159,0.747945,9,False,0.375,36.6,36.6,59d0a90cd00e894d,30.6,outputs/change_nbv/keyframe/Pots/kf_l_dir_gseed/ts0_20260720_153241/selection_manifest.json
Pots,uniform,1,1-6-11-16-21,1-6-11-16-21,0.628471,0.769099,1,False,,0,35.6,,,
Pots,uniform,0,2-7-12-17-22,2-7-12-17-22,0.604881,0.751171,2,False,,0,37.2,,,
Lunch_room,uniform,2,3-8-13-18-23,3-8-13-18-23,0.298372,0.439783,3,False,,0,45.3,,,
Pots,uniform,2,0-5-10-15-20,0-5-10-15-20,0.615979,0.759137,0,True,,0,36.1,,,
Pots,dopt_seq_dir,1,0-2-11-15-17,0-2-11-17-15,0.621920,0.762857,0,True,,34.4,35.8,,,
Lunch_room,uniform,1,4-9-14-19-24,4-9-14-19-24,0.273223,0.404748,4,False,,0,42.3,,,
Pots,uniform,1,2-7-12-17-22,2-7-12-17-22,0.603338,0.750032,2,False,,0,36.0,,,
Pots,uniform,0,3-8-13-18-23,3-8-13-18-23,0.590042,0.737481,3,False,,0,36.6,,,
Pots,uniform,2,1-6-11-16-21,1-6-11-16-21,0.628887,0.769653,1,False,,0,37.8,,,
Pots,kf_l_dir_gseed,1,2-3-5-9-22,9-2-22-3-5,0.597784,0.745218,9,False,0.375,38.5,38.5,ea63253218f559e0,31.8,outputs/change_nbv/keyframe/Pots/kf_l_dir_gseed/ts1_20260720_153343/selection_manifest.json
Lunch_room,uniform,2,4-9-14-19-24,4-9-14-19-24,0.271328,0.403002,4,False,,0,46.0,,,
Pots,dopt_seq_dir,2,0-2-11-15-17,0-2-11-17-15,0.618472,0.760067,0,True,,33.6,36.6,,,
Printing_area,uniform,0,0-5-10-15-20,0-5-10-15-20,0.595727,0.734956,0,True,,0,35.3,,,
Pots,uniform,1,3-8-13-18-23,3-8-13-18-23,0.588937,0.736265,3,False,,0,36.2,,,
Pots,uniform,0,4-9-14-19-24,4-9-14-19-24,0.624558,0.764993,4,False,,0,36.0,,,
Pots,uniform,2,2-7-12-17-22,2-7-12-17-22,0.606089,0.752060,2,False,,0,36.5,,,
Printing_area,uniform,1,0-5-10-15-20,0-5-10-15-20,0.584873,0.726519,0,True,,0,34.5,,,
Printing_area,uniform,0,1-6-11-16-21,1-6-11-16-21,0.619734,0.757756,1,False,,0,34.8,,,
Pots,kf_l_dir_gseed,2,2-3-5-9-22,9-2-3-22-5,0.600389,0.747365,9,False,0.375,38.1,36.8,450d0d214f5f510e,30.8,outputs/change_nbv/keyframe/Pots/kf_l_dir_gseed/ts2_20260720_153431/selection_manifest.json
Pots,uniform,1,4-9-14-19-24,4-9-14-19-24,0.624615,0.765374,4,False,,0,35.9,,,
Printing_area,dopt_seq_dir,0,0-11-13-17-21,0-13-11-21-17,0.598580,0.736372,0,True,,32.2,35.3,,,
Pots,uniform,2,3-8-13-18-23,3-8-13-18-23,0.591873,0.738985,3,False,,0,36.9,,,
Printing_area,kf_l_dir_gseed,0,0-11-13-17-22,0-13-11-22-17,0.596018,0.734201,0,True,1.0,35.0,36.8,1a347c13845bbf08,29.2,outputs/change_nbv/keyframe/Printing_area/kf_l_dir_gseed/ts0_20260720_153501/selection_manifest.json
Printing_area,uniform,1,1-6-11-16-21,1-6-11-16-21,0.617772,0.756223,1,False,,0,36.0,,,
Printing_area,uniform,0,2-7-12-17-22,2-7-12-17-22,0.610610,0.754868,2,False,,0,35.5,,,
Printing_area,uniform,2,0-5-10-15-20,0-5-10-15-20,0.586981,0.728795,0,True,,0,35.7,,,
Printing_area,dopt_seq_dir,1,0-11-13-17-21,0-13-11-21-17,0.590797,0.730469,0,True,,31.5,35.5,,,
Pots,uniform,2,4-9-14-19-24,4-9-14-19-24,0.626785,0.767132,4,False,,0,35.3,,,
Printing_area,uniform,1,2-7-12-17-22,2-7-12-17-22,0.603797,0.749636,2,False,,0,34.4,,,
Printing_area,uniform,0,3-8-13-18-23,3-8-13-18-23,0.620159,0.756309,3,False,,0,34.5,,,
Printing_area,kf_l_dir_gseed,1,0-5-11-13-22,0-13-11-22-5,0.619684,0.752599,0,True,1.0,35.4,34.1,b3219b3f13d8fc33,28.8,outputs/change_nbv/keyframe/Printing_area/kf_l_dir_gseed/ts1_20260720_153544/selection_manifest.json
Printing_area,uniform,2,1-6-11-16-21,1-6-11-16-21,0.613938,0.752881,1,False,,0,33.0,,,
Printing_area,dopt_seq_dir,2,0-5-11-13-21,0-13-11-21-5,0.612302,0.747128,0,True,,32.2,33.8,,,
Printing_area,kf_l_dir_gseed,2,0-5-11-13-22,0-13-11-22-5,0.618558,0.751875,0,True,1.0,34.0,33.1,14714c3ac59f503d,34.1,outputs/change_nbv/keyframe/Printing_area/kf_l_dir_gseed/ts2_20260720_153612/selection_manifest.json
Printing_area,uniform,1,3-8-13-18-23,3-8-13-18-23,0.615275,0.752500,3,False,,0,32.5,,,
Printing_area,uniform,0,4-9-14-19-24,4-9-14-19-24,0.469075,0.622996,4,False,,0,32.2,,,
Printing_area,uniform,2,2-7-12-17-22,2-7-12-17-22,0.600771,0.747011,2,False,,0,31.2,,,
Printing_area,uniform,1,4-9-14-19-24,4-9-14-19-24,0.462661,0.616549,4,False,,0,30.6,,,
Printing_area,uniform,2,3-8-13-18-23,3-8-13-18-23,0.617392,0.754145,3,False,,0,28.9,,,
Printing_area,uniform,2,4-9-14-19-24,4-9-14-19-24,0.457923,0.611308,4,False,,0,28.4,,,
