scene,phase,combo,miou_query,f1_query
Porch,local3,0-4-14-19-24,0.459412,0.626917
Meeting_room,local3,4-7-14-16-22,0.502826,0.662465
Lunch_room,local3,1-5-6-11-17,0.403757,0.553697
Pots,local3,9-13-15-20-24,0.579280,0.730903
Cantina,local3,3-7-13-15-24,0.465147,0.627888
Lounge,local3,0-1-6-10-24,0.476485,0.642922
Playground,local3,4-5-11-15-22,0.299714,0.439924
Porch,local3,3-4-9-14-24,0.519443,0.673048
Garden,local3,9-10-12-15-18,0.498090,0.664150
Meeting_room,local3,1-2-4-6-14,0.466493,0.631286
Pots,local3,5-9-17-20-24,0.596530,0.744612
Lunch_room,local3,5-6-11-17-19,0.365725,0.516612
Cantina,local3,3-10-13-14-15,0.517329,0.675006
Lounge,local3,6-8-10-13-14,0.509508,0.673226
Playground,local3,0-4-9-15-19,0.439934,0.597941
Meeting_room,local3,1-2-3-4-14,0.447035,0.610951
Garden,local3,1-5-10-15-16,0.486377,0.653643
Porch,local3,2-4-14-19-24,0.540751,0.695518
Pots,local3,7-12-17-18-24,0.541579,0.698116
Lounge,local3,2-3-6-10-13,0.459607,0.625976
Lunch_room,local3,1-5-6-11-14,0.401401,0.551616
Cantina,local3,3-11-13-14-15,0.478663,0.639598
Playground,local3,0-4-10-11-15,0.438664,0.595441
Meeting_room,local3,4-9-16-22-23,0.513134,0.670256
Porch,local3,4-9-14-18-19,0.569198,0.718727
Garden,local3,2-5-8-15-16,0.519699,0.682568
Pots,local3,0-5-9-17-24,0.590693,0.739439
Lounge,local3,3-6-10-15-22,0.470580,0.637174
Cantina,local3,3-10-14-15-18,0.498560,0.656850
Playground,local3,1-2-11-19-22,0.422253,0.578362
Lunch_room,local3,2-11-12-17-19,0.296387,0.440347
Meeting_room,local3,3-9-16-18-23,0.495015,0.655328
Porch,local3,9-12-17-19-21,0.576767,0.720331
Pots,local3,4-5-9-13-17,0.581890,0.732459
Lounge,local3,3-6-10-13-23,0.493124,0.658141
Garden,local3,2-5-10-15-16,0.518611,0.681736
Cantina,local3,2-13-15-18-21,0.393522,0.555585
Playground,local3,0-4-7-11-15,0.439472,0.597708
Lunch_room,local3,5-6-11-17-20,0.379772,0.530867
Meeting_room,local3,4-7-14-16-23,0.482434,0.641980
Porch,local3,3-4-9-14-19,0.498660,0.651505
Pots,local3,4-13-17-20-24,0.563564,0.714536
Lounge,local3,8-10-20-21-23,0.488423,0.654630
Garden,local3,7-8-10-12-15,0.493468,0.658435
Cantina,local3,10-12-13-14-15,0.464634,0.615270
Playground,local3,0-4-7-11-19,0.440472,0.597808
Meeting_room,local3,4-7-9-16-21,0.509225,0.667349
Porch,local3,4-9-13-14-24,0.544330,0.698559
Lunch_room,local3,1-3-5-6-11,0.411640,0.564169
Pots,local3,3-4-13-17-24,0.581275,0.726282
Lounge,local3,5-6-8-9-13,0.498603,0.663415
Garden,local3,10-11-15-23-24,0.490543,0.656631
Cantina,local3,2-3-14-15-23,0.435449,0.598963
Meeting_room,local3,4-9-16-23-24,0.505172,0.662353
Playground,local3,0-5-15-19-24,0.432132,0.588400
Porch,local3,0-3-4-9-17,0.454570,0.618835
Pots,local3,0-9-14-17-24,0.593044,0.740923
Lounge,local3,3-6-9-10-13,0.485610,0.651427
Lunch_room,local3,5-8-11-12-16,0.338791,0.490494
Garden,local3,5-6-13-16-20,0.515289,0.679125
Cantina,local3,3-5-10-13-15,0.506222,0.665505
Meeting_room,local3,4-9-13-22-23,0.515700,0.673653
Playground,local3,0-4-9-11-15,0.439787,0.597719
Porch,local3,4-5-9-19-24,0.533404,0.691636
Pots,local3,4-9-11-17-20,0.594952,0.743095
Lounge,local3,3-6-10-13-17,0.514887,0.677739
Lunch_room,local3,0-1-3-6-14,0.370740,0.518245
Cantina,local3,3-7-10-13-15,0.500621,0.659523
Garden,local3,5-10-12-15-21,0.527541,0.689909
