scene,phase,combo,miou_query,f1_query
Lounge,local3,5-11-14-18-19,0.513648,0.676075
Garden,local3,7-12-14-16-22,0.501766,0.666348
Lunch_room,local3,1-5-6-11-13,0.399236,0.549583
Porch,local3,5-6-9-13-17,0.501379,0.659674
Playground,local3,11-14-18-21-22,0.444834,0.601291
Cantina,local3,2-10-13-14-18,0.488995,0.643195
Pots,local3,1-9-11-19-24,0.600069,0.746907
Meeting_room,local3,8-9-13-16-22,0.480074,0.642083
Lounge,local3,0-11-14-19-22,0.508307,0.671640
Garden,local3,1-5-11-13-19,0.497143,0.663093
Porch,local3,3-4-5-13-15,0.392648,0.549682
Lunch_room,local3,1-2-5-11-16,0.343727,0.495850
Cantina,local3,3-8-14-21-22,0.475654,0.637825
Playground,local3,0-7-11-15-18,0.414275,0.572658
Lounge,local3,6-11-14-18-19,0.532979,0.693199
Pots,local3,9-10-16-19-24,0.572665,0.725527
Meeting_room,local3,2-4-8-10-22,0.525623,0.684347
Garden,local3,10-12-14-16-19,0.535939,0.696808
Porch,local3,2-6-8-13-19,0.486919,0.634421
Cantina,local3,3-13-14-16-18,0.473381,0.636075
Lunch_room,local3,0-1-3-6-11,0.381480,0.532006
Playground,local3,0-2-15-18-24,0.445964,0.603089
Lounge,local3,2-12-14-15-18,0.458331,0.624215
Meeting_room,local3,0-10-15-22-24,0.500261,0.660915
Pots,local3,1-9-12-19-24,0.588619,0.737812
Garden,local3,7-10-12-14-19,0.518817,0.681562
Porch,local3,2-3-5-6-20,0.521692,0.680282
Cantina,local3,1-10-13-14-24,0.484310,0.642244
Playground,local3,0-1-2-7-12,0.429329,0.589560
Lounge,local3,6-8-14-18-19,0.509221,0.672442
Lunch_room,local3,0-5-8-11-19,0.379878,0.535905
Meeting_room,local3,2-4-5-8-15,0.505033,0.664717
Pots,local3,2-3-5-9-24,0.571205,0.722819
Garden,local3,0-5-10-16-18,0.511372,0.675910
Porch,local3,0-2-3-5-6,0.438088,0.603365
Cantina,local3,4-5-8-10-14,0.409666,0.559850
Playground,local3,2-3-7-11-13,0.347099,0.493590
Lounge,local3,6-11-17-18-19,0.540802,0.699870
Meeting_room,local3,2-8-10-12-22,0.508216,0.670548
Pots,local3,1-9-13-17-19,0.594359,0.741843
Lunch_room,local3,1-5-11-15-19,0.387969,0.542561
Garden,local3,14-16-17-19-20,0.522042,0.684705
Porch,local3,2-3-6-20-24,0.520498,0.674290
Cantina,local3,3-10-14-18-22,0.503062,0.661441
Lounge,local3,1-12-17-18-19,0.512265,0.673582
Playground,local3,7-11-12-15-18,0.303845,0.452344
Meeting_room,local3,2-4-13-19-22,0.499001,0.660758
Pots,local3,9-11-13-17-24,0.527784,0.687859
Lunch_room,local3,3-6-8-11-20,0.306007,0.443833
Garden,local3,10-12-14-16-17,0.531401,0.692687
Porch,local3,0-2-8-20-23,0.438247,0.597198
Cantina,local3,3-10-13-18-20,0.496266,0.656105
Lounge,local3,15-18-19-21-22,0.422065,0.591044
Playground,local3,2-11-15-18-22,0.330227,0.472613
Meeting_room,local3,2-4-5-8-10,0.505311,0.665338
Pots,local3,0-1-9-17-24,0.584931,0.732762
Garden,local3,1-9-10-16-19,0.479391,0.647143
Lunch_room,local3,3-5-11-16-21,0.355392,0.506714
Porch,local3,3-5-15-17-23,0.474571,0.635250
Cantina,local3,3-10-13-17-23,0.502634,0.660252
Lounge,local3,5-11-17-18-19,0.518897,0.680613
Meeting_room,local3,2-6-8-10-22,0.500782,0.663886
Playground,local3,0-8-11-14-15,0.377102,0.537643
Pots,local3,1-3-17-19-24,0.595448,0.738991
Garden,local3,9-10-14-16-19,0.490912,0.657399
Porch,local3,2-5-6-20-23,0.564239,0.717422
Cantina,local3,2-3-7-10-12,0.452332,0.613642
Lounge,local3,2-6-11-17-19,0.489764,0.653522
Lunch_room,local3,1-3-6-11-21,0.391081,0.541438
Meeting_room,local3,2-5-6-8-18,0.436928,0.601835
Playground,local3,0-2-3-11-18,0.443983,0.601344
Pots,local3,1-9-17-19-21,0.594787,0.742264
Garden,local3,2-12-14-16-19,0.520388,0.682934
Lounge,local3,3-4-11-13-17,0.497949,0.662986
Porch,local3,0-2-5-20-23,0.420895,0.586436
Cantina,local3,1-10-13-14-18,0.507821,0.662937
Meeting_room,local3,8-10-13-17-24,0.470931,0.634132
Lunch_room,local3,3-5-6-11-16,0.329291,0.473459
Playground,local3,2-10-11-15-16,0.327583,0.466780
Pots,local3,9-15-17-20-24,0.587803,0.737731
Garden,local3,5-10-12-16-19,0.534189,0.695482
Lounge,local3,2-6-11-17-18,0.488381,0.652165
Porch,local3,2-5-6-20-24,0.558910,0.711492
Cantina,local3,3-7-10-14-18,0.487044,0.646587
Meeting_room,local3,2-4-8-13-15,0.504612,0.662888
Pots,local3,4-6-9-23-24,0.567806,0.721979
Playground,local3,0-1-2-10-15,0.430129,0.590875
Lounge,local3,1-11-17-18-19,0.526502,0.685774
Lunch_room,local3,3-5-6-11-14,0.327805,0.470287
Garden,local3,6-10-12-14-19,0.521984,0.684829
Porch,local3,2-3-5-6-15,0.525653,0.680585
Meeting_room,local3,2-3-4-10-24,0.519490,0.679136
Cantina,local3,7-10-14-15-24,0.441704,0.594252
Pots,local3,0-1-9-19-24,0.575525,0.726315
Lounge,local3,11-12-13-15-17,0.472953,0.638766
Playground,local3,3-12-15-18-23,0.344337,0.495029
Garden,local3,7-10-12-13-16,0.504146,0.668557
Lunch_room,local3,0-3-5-6-14,0.368358,0.520792
Porch,local3,2-5-6-8-13,0.525237,0.673271
Meeting_room,local3,2-4-8-10-11,0.526312,0.685356
Cantina,local3,3-4-10-13-16,0.471893,0.632099
Pots,local3,1-9-17-19-22,0.594448,0.742501
Lounge,local3,5-6-17-18-21,0.513294,0.675846
Playground,local3,1-9-15-18-21,0.383470,0.543918
Garden,local3,2-10-12-14-19,0.528467,0.690255
Lunch_room,local3,1-6-8-18-22,0.374491,0.521089
Porch,local3,2-4-8-14-23,0.534437,0.682570
Meeting_room,local3,2-9-10-20-22,0.520985,0.681254
Cantina,local3,2-3-10-13-14,0.465114,0.625780
Pots,local3,1-15-17-19-24,0.580884,0.727135
Lounge,local3,6-9-11-14-18,0.492186,0.657472
Playground,local3,0-2-4-15-24,0.413103,0.566495
Garden,local3,10-12-14-16-22,0.527152,0.689319
Meeting_room,local3,8-10-14-18-21,0.472172,0.635162
Porch,local3,1-2-5-6-9,0.541807,0.685819
Lunch_room,local3,1-3-6-11-20,0.406908,0.560806
Cantina,local3,3-4-10-17-18,0.503458,0.661988
Lounge,local3,2-6-11-14-17,0.482160,0.646955
Pots,local3,1-4-17-19-24,0.581097,0.726959
Playground,local3,0-2-3-12-16,0.433641,0.592899
Garden,local3,10-11-13-16-21,0.494660,0.660310
Meeting_room,local3,4-5-8-13-19,0.456736,0.617313
Porch,local3,2-5-6-14-23,0.555365,0.704740
Cantina,local3,3-11-13-14-18,0.496940,0.655463
Lounge,local3,6-17-18-19-22,0.518798,0.680962
Pots,local3,1-9-12-14-17,0.584735,0.734236
Lunch_room,local3,1-8-11-16-21,0.348769,0.497185
Playground,local3,4-11-15-16-18,0.328742,0.474619
Garden,local3,4-10-14-17-22,0.510988,0.675630
Meeting_room,local3,4-8-10-11-20,0.496950,0.656894
Porch,local3,0-2-6-7-23,0.401134,0.563037
Lounge,local3,10-11-12-18-24,0.506900,0.670786
Cantina,local3,3-10-12-13-14,0.485380,0.644787
Pots,local3,1-9-15-17-19,0.599772,0.746040
Lunch_room,local3,1-3-5-7-22,0.398229,0.550855
Playground,local3,0-4-10-11-18,0.437516,0.592573
Garden,local3,1-12-14-17-19,0.506247,0.671140
Meeting_room,local3,0-4-8-15-21,0.495204,0.657001
Porch,local3,1-6-17-23-24,0.548754,0.690998
Lounge,local3,6-11-15-18-20,0.519809,0.681531
Cantina,local3,3-13-14-18-22,0.465943,0.629404
Pots,local3,1-7-11-17-19,0.580196,0.728457
Playground,local3,2-11-18-20-21,0.421805,0.574904
Meeting_room,local3,2-6-8-17-24,0.459512,0.625011
Lunch_room,restart3,3-6-10-16-20,0.284132,0.423251
Garden,local3,8-10-12-19-24,0.474903,0.642263
Porch,local3,2-5-7-20-23,0.489458,0.651287
Lounge,local3,7-10-18-19-24,0.486831,0.652458
Cantina,local3,2-10-12-13-18,0.489774,0.642936
Pots,local3,0-2-9-17-21,0.566203,0.719188
Playground,local3,0-6-11-15-18,0.433022,0.590151
Meeting_room,local3,8-10-14-17-24,0.475642,0.638923
Porch,local3,2-5-6-9-20,0.568264,0.714927
Lunch_room,local3,3-6-10-16-17,0.295734,0.437844
Lounge,local3,3-5-11-13-18,0.508530,0.671277
Garden,local3,1-12-14-16-19,0.509314,0.673804
Cantina,local3,3-4-13-14-19,0.378064,0.525023
Pots,local3,1-3-9-17-19,0.599890,0.744178
Meeting_room,local3,2-4-8-11-20,0.508979,0.668406
Playground,local3,0-2-11-18-21,0.443700,0.598979
Porch,local3,2-6-9-13-17,0.506597,0.650605
Lounge,local3,6-8-11-18-19,0.517094,0.679440
Cantina,local3,9-10-14-15-18,0.448056,0.595321
Lunch_room,local3,3-6-10-17-23,0.299596,0.440858
Garden,local3,10-12-14-19-20,0.531445,0.693199
Playground,local3,0-1-11-18-24,0.405832,0.567162
Meeting_room,local3,2-4-8-10-13,0.519842,0.678453
Pots,local3,1-6-13-18-19,0.557203,0.710588
Lounge,local3,8-12-16-18-19,0.470230,0.633913
Porch,local3,2-6-14-20-22,0.531854,0.682457
Cantina,local3,1-3-10-14-18,0.512390,0.669314
Lunch_room,local3,1-3-6-17-23,0.359400,0.506335
Meeting_room,local3,2-3-8-9-16,0.520188,0.679485
Pots,local3,1-12-13-14-17,0.562288,0.713988
Garden,local3,10-14-16-19-23,0.511225,0.675164
Playground,local3,2-9-11-12-16,0.350693,0.492690
Lounge,local3,1-6-15-19-24,0.455684,0.622034
Cantina,restart3,0-8-16-19-21,0.473221,0.632680
Porch,local3,5-6-9-11-20,0.572959,0.721831
Lunch_room,local3,1-3-17-18-23,0.332444,0.478723
Meeting_room,local3,4-10-11-13-18,0.490001,0.649333
Pots,local3,9-10-17-19-22,0.554632,0.710643
Garden,local3,10-11-14-16-19,0.513939,0.677363
Playground,restart3,0-5-6-8-14,0.423327,0.580798
Lounge,local3,6-17-18-19-21,0.523149,0.684832
Cantina,local3,8-10-16-19-21,0.487985,0.646349
Meeting_room,local3,2-4-8-10-15,0.532016,0.690232
Porch,local3,6-9-11-16-20,0.510651,0.657300
Lunch_room,local3,0-1-3-17-23,0.343554,0.492670
Pots,local3,1-3-4-14-19,0.576075,0.722519
Playground,local3,0-5-6-8-15,0.424287,0.581692
Garden,local3,10-12-16-19-22,0.525029,0.687536
Lounge,local3,7-9-17-18-21,0.463860,0.631046
Meeting_room,local3,2-3-8-11-22,0.506944,0.668621
Cantina,local3,0-8-10-16-21,0.488712,0.645846
Porch,local3,5-9-19-20-21,0.553733,0.705800
Pots,local3,1-9-17-22-24,0.592913,0.740816
Lunch_room,local3,6-17-18-20-21,0.359644,0.504309
Playground,local3,0-5-6-8-19,0.375312,0.519715
Garden,local3,3-12-14-16-19,0.506083,0.671397
Lounge,local3,6-8-16-17-19,0.473959,0.638014
Meeting_room,local3,2-4-10-15-24,0.533465,0.691530
Cantina,local3,8-10-14-16-21,0.494716,0.652403
Porch,local3,2-4-5-11-20,0.525978,0.683665
Pots,local3,3-14-16-17-19,0.581560,0.728824
Lunch_room,local3,1-6-17-18-21,0.360669,0.505486
Playground,local3,0-6-8-15-19,0.429349,0.587245
Lounge,local3,1-4-11-18-19,0.521485,0.682469
Garden,local3,2-14-15-16-19,0.517159,0.680256
Meeting_room,local3,4-10-15-22-24,0.523028,0.681213
Cantina,local3,8-10-16-17-21,0.501168,0.658271
Porch,local3,3-9-11-18-20,0.509153,0.658021
Pots,local3,1-12-13-15-19,0.569916,0.720534
Lounge,local3,4-6-9-17-19,0.458596,0.626407
Playground,local3,0-6-15-16-19,0.417169,0.574739
Lunch_room,local3,1-5-13-17-21,0.390944,0.540195
Cantina,local3,2-8-13-16-23,0.482835,0.643064
Meeting_room,local3,2-4-9-15-22,0.537335,0.694018
Garden,local3,6-10-11-14-19,0.515025,0.678654
Porch,local3,7-11-18-19-20,0.451126,0.612764
Lounge,local3,6-11-13-17-19,0.533423,0.693667
Pots,local3,2-9-17-23-24,0.584449,0.735564
Playground,local3,0-8-9-12-17,0.381813,0.542346
Cantina,local3,10-16-17-19-21,0.494216,0.652818
Lunch_room,local3,1-5-11-13-17,0.381861,0.533536
Meeting_room,local3,2-9-15-17-22,0.517086,0.677747
Lounge,local3,6-11-18-19-21,0.531703,0.692200
Garden,local3,2-5-10-14-22,0.521489,0.684440
Porch,local3,6-9-15-19-20,0.510822,0.661123
Pots,local3,9-17-19-23-24,0.558413,0.713090
Playground,local3,0-6-15-19-21,0.429664,0.587176
Cantina,local3,8-9-17-22-23,0.485044,0.640052
Meeting_room,local3,2-4-9-17-22,0.529951,0.687785
Lunch_room,local3,1-2-15-20-21,0.383638,0.531958
Lounge,local3,9-11-17-18-19,0.468814,0.635877
Pots,local3,1-8-9-19-24,0.592806,0.740315
Garden,local3,8-11-12-14-16,0.488893,0.654697
Playground,local3,8-13-15-19-21,0.285952,0.432026
Porch,local3,1-5-9-14-18,0.554621,0.699545
Lunch_room,local3,5-13-17-19-20,0.372470,0.531626
Meeting_room,local3,2-9-10-15-22,0.529653,0.688603
Cantina,local3,0-16-17-19-24,0.433783,0.593498
Lounge,local3,5-6-11-12-18,0.518416,0.680119
Pots,local3,1-9-10-19-24,0.606816,0.751093
Garden,local3,3-10-11-12-16,0.501251,0.666809
Playground,local3,6-13-15-19-21,0.344955,0.501114
Lounge,local3,6-11-15-17-18,0.525855,0.686859
Porch,local3,5-6-11-13-20,0.504167,0.664656
Meeting_room,local3,2-13-15-16-22,0.458055,0.624000
Lunch_room,local3,1-13-17-21-23,0.347687,0.495084
Cantina,local3,8-10-13-16-21,0.503456,0.660213
Pots,local3,1-4-8-13-19,0.554770,0.706034
Garden,local3,6-10-16-17-24,0.503303,0.667828
Playground,local3,0-6-17-19-21,0.434693,0.592885
Lounge,local3,3-7-10-17-18,0.497953,0.662452
Meeting_room,local3,0-2-4-9-15,0.504564,0.665896
Porch,local3,2-6-9-11-20,0.520923,0.662589
Pots,local3,1-9-15-21-22,0.585552,0.734480
Cantina,local3,13-16-17-18-21,0.486263,0.647964
Lunch_room,local3,5-13-17-21-22,0.367906,0.519142
Playground,local3,1-6-17-19-21,0.433945,0.592818
Garden,local3,9-12-14-16-19,0.491164,0.658031
Lounge,local3,6-17-18-19-23,0.509659,0.672754
Meeting_room,local3,2-4-15-17-22,0.497911,0.658351
Porch,local3,3-6-9-11-16,0.520234,0.662752
Cantina,local3,1-10-13-16-21,0.481076,0.639623
Pots,local3,9-13-17-19-24,0.553258,0.709691
Playground,local3,6-11-17-19-21,0.375630,0.535812
Lounge,local3,9-13-17-18-23,0.448505,0.617229
Lunch_room,local3,5-13-17-18-21,0.371695,0.526871
Garden,local3,10-12-14-16-21,0.527895,0.689786
Meeting_room,local3,2-9-15-22-23,0.521221,0.679924
Porch,local3,5-6-11-20-22,0.545880,0.702242
Cantina,local3,10-12-13-16-21,0.458483,0.616875
Pots,local3,2-6-9-13-24,0.538091,0.697820
Playground,local3,0-6-10-17-19,0.434382,0.590657
Lounge,local3,5-9-17-19-24,0.476501,0.642731
Meeting_room,local3,4-9-13-15-17,0.497144,0.655740
Garden,local3,8-10-14-19-24,0.467464,0.635192
Lunch_room,local3,13-17-20-21-22,0.332590,0.479779
Porch,local3,5-8-9-11-20,0.567444,0.712232
Cantina,local3,3-8-10-14-21,0.488987,0.647764
Pots,local3,1-5-9-17-19,0.587161,0.736311
Playground,local3,0-6-13-16-17,0.427706,0.585258
Lounge,local3,2-6-10-18-19,0.470082,0.635238
Meeting_room,local3,3-4-9-15-22,0.496572,0.657491
Garden,local3,10-12-17-18-19,0.535901,0.696694
Lunch_room,local3,6-9-13-17-21,0.326341,0.467950
Porch,local3,5-9-11-17-20,0.585949,0.729624
Pots,local3,6-12-17-19-24,0.495465,0.657914
Cantina,local3,0-7-10-12-16,0.449890,0.608445
Printing_area,uniform_off,0-5-10-15-20,0.515175,0.676110
Meeting_room,local3,5-10-11-15-22,0.500739,0.662091
Playground,local3,6-17-18-21-24,0.446099,0.602197
Garden,local3,12-13-14-16-19,0.512069,0.676501
Porch,local3,5-7-9-17-21,0.439782,0.603391
Lunch_room,local3,1-5-6-17-21,0.396188,0.543895
Cantina,local3,5-8-10-13-16,0.477173,0.633537
Pots,local3,1-11-17-19-24,0.590343,0.736880
Printing_area,uniform_off,1-6-11-16-21,0.532638,0.691687
Zen,uniform_off,0-5-10-15-20,0.473936,0.638705
Playground,local3,3-13-20-21-24,0.403700,0.555871
Garden,local3,10-11-12-14-16,0.516844,0.679899
Porch,local3,5-11-17-20-23,0.603294,0.747188
Cantina,local3,8-10-13-18-21,0.446530,0.596420
Printing_area,uniform_off,2-7-12-17-22,0.529944,0.689187
Pots,local3,1-9-10-17-19,0.603553,0.748659
Lunch_room,local3,4-5-15-16-21,0.306691,0.444682
Zen,uniform_off,1-6-11-16-21,0.395992,0.565445
Playground,local3,6-13-17-18-24,0.375819,0.530423
Garden,local3,10-14-16-19-24,0.518767,0.681761
Porch,local3,5-11-16-17-23,0.581710,0.726151
Printing_area,uniform_off,3-8-13-18-23,0.504909,0.667463
Cantina,local3,5-8-10-16-21,0.483727,0.643933
Pots,local3,1-9-17-21-24,0.593173,0.739899
Zen,uniform_off,2-7-12-17-22,0.451377,0.618780
Lunch_room,local3,1-5-6-14-21,0.401887,0.548493
Playground,local3,6-17-18-19-21,0.436333,0.591701
Garden,local3,7-10-14-16-19,0.510635,0.674070
Porch,local3,0-4-5-11-19,0.445026,0.611692
Printing_area,uniform_off,4-9-14-19-24,0.426906,0.585605
Cantina,local3,8-10-15-16-19,0.498884,0.654250
Pots,local3,1-9-18-19-23,0.605525,0.750789
Zen,uniform_off,3-8-13-18-23,0.357259,0.506319
Playground,local3,6-17-21-22-24,0.373789,0.533912
Lunch_room,local3,5-6-8-9-14,0.335640,0.475063
Garden,local3,10-16-19-21-22,0.505436,0.670130
Porch,local3,3-16-17-20-23,0.439767,0.597139
Cantina,local3,8-10-13-14-21,0.449796,0.601979
Pots,local3,1-17-19-20-24,0.585279,0.731240
Zen,uniform_off,4-9-14-19-24,0.351220,0.504291
Playground,local3,7-8-17-18-21,0.325462,0.484152
Lunch_room,local3,5-6-9-14-21,0.341061,0.480930
Garden,local3,2-10-15-19-21,0.517214,0.680419
Porch,local3,3-5-17-18-23,0.384968,0.538034
Cantina,local3,8-13-16-19-21,0.489635,0.650015
Playground,local3,6-12-17-18-21,0.373532,0.532583
Garden,local3,9-11-12-14-19,0.498051,0.664206
Porch,local3,5-11-12-20-23,0.543060,0.688782
Lunch_room,local3,0-1-6-14-21,0.365074,0.507947
Playground,local3,3-6-14-18-20,0.348256,0.502697
Porch,local3,1-13-14-17-20,0.535950,0.685078
Lunch_room,local3,1-3-5-14-19,0.396457,0.549089
Porch,local3,3-5-11-20-23,0.486058,0.648631
Lunch_room,local3,1-6-7-14-21,0.365074,0.507735
Printing_area,local3,1-7-8-20-21,0.502748,0.663852
Lunch_room,local3,1-6-14-15-21,0.371698,0.515256
Printing_area,local3,1-8-11-16-24,0.540646,0.696520
Zen,local3,0-5-11-15-20,0.480487,0.645654
Printing_area,local3,1-8-16-20-24,0.539863,0.696596
Lunch_room,local3,1-5-6-14-24,0.400319,0.548152
Zen,local3,0-5-14-15-20,0.470031,0.634629
Printing_area,local3,1-11-12-20-24,0.583771,0.731943
Lunch_room,local3,1-5-6-8-21,0.401799,0.548113
Printing_area,local3,1-11-12-20-22,0.576753,0.726507
Zen,local3,0-1-5-11-15,0.472514,0.638641
Lunch_room,local3,1-5-16-20-21,0.390833,0.542974
Printing_area,local3,3-8-11-23-24,0.505017,0.666426
Zen,local3,0-4-9-11-15,0.344954,0.493366
Lunch_room,local3,1-6-10-13-21,0.375991,0.520115
Printing_area,local3,1-3-12-20-24,0.543694,0.699643
Zen,local3,0-11-15-17-20,0.448380,0.616998
Printing_area,local3,4-11-12-20-23,0.535319,0.689102
Lunch_room,local3,6-7-10-21-24,0.246564,0.373613
Zen,local3,0-5-11-20-23,0.487630,0.652228
Printing_area,local3,1-8-11-12-24,0.565901,0.717704
Zen,local3,0-5-11-20-24,0.479241,0.644156
Lunch_room,local3,4-6-14-21-24,0.268233,0.396134
Printing_area,local3,10-11-12-20-24,0.562928,0.710432
Zen,local3,0-1-11-16-23,0.481648,0.647499
Lunch_room,local3,5-6-12-14-21,0.318906,0.462871
Printing_area,local3,1-11-16-20-24,0.584357,0.735702
Zen,local3,5-11-17-20-23,0.480002,0.643731
Printing_area,local3,3-6-11-20-21,0.519088,0.679507
Lunch_room,local3,1-5-6-9-14,0.403157,0.549973
Zen,local3,0-5-6-11-14,0.424048,0.592246
Printing_area,local3,1-16-21-23-24,0.548134,0.705565
Lunch_room,local3,0-6-9-11-14,0.359602,0.506721
Zen,local3,11-12-16-18-20,0.516889,0.677735
Printing_area,local3,1-11-16-21-24,0.568430,0.722632
Zen,local3,11-12-13-16-24,0.426202,0.579309
Lunch_room,local3,3-6-9-14-19,0.276130,0.413910
Printing_area,local3,11-16-18-20-24,0.552099,0.706419
Zen,local3,4-11-12-16-18,0.391159,0.544839
Printing_area,local3,1-4-12-16-20,0.497494,0.658363
Lunch_room,local3,1-4-5-9-20,0.386797,0.533675
Printing_area,local3,2-11-16-20-24,0.568778,0.722457
Zen,local3,6-10-15-18-20,0.353902,0.519960
Lunch_room,local3,1-5-6-14-16,0.396672,0.545357
Printing_area,local3,6-11-16-20-24,0.554751,0.709334
Zen,local3,1-11-12-16-20,0.501019,0.662541
Lunch_room,local3,1-6-14-19-22,0.372151,0.520586
Printing_area,local3,1-12-16-20-24,0.587419,0.736813
Zen,local3,1-11-12-16-18,0.513538,0.675110
Printing_area,local3,1-4-16-20-24,0.485615,0.646688
Zen,local3,1-8-11-14-20,0.481328,0.648087
Printing_area,local3,5-10-16-17-24,0.539838,0.696087
Zen,local3,12-16-18-20-21,0.462184,0.624329
Printing_area,local3,1-12-17-20-24,0.577029,0.727909
Zen,local3,5-11-16-18-20,0.472527,0.633761
Printing_area,local3,1-8-12-20-22,0.561903,0.714986
Zen,local3,12-13-16-18-20,0.404128,0.557472
Printing_area,local3,1-8-12-16-20,0.555897,0.710351
Zen,local3,10-11-16-18-20,0.506249,0.667307
Printing_area,local3,0-1-2-15-24,0.383802,0.541089
Zen,local3,8-11-12-16-18,0.465038,0.626478
Printing_area,local3,11-12-16-20-24,0.567120,0.715739
Printing_area,local3,12-15-16-22-24,0.542376,0.696420
Zen,local3,9-11-12-16-18,0.502347,0.665947
Printing_area,local3,3-5-12-16-20,0.528481,0.687565
Zen,local3,7-8-16-20-22,0.429132,0.591300
Printing_area,local3,1-12-16-22-24,0.557433,0.710965
Zen,local3,11-16-17-18-20,0.471837,0.637436
Printing_area,local3,1-12-16-21-24,0.568226,0.721415
Zen,local3,9-12-16-18-20,0.504412,0.667899
Printing_area,local3,3-8-12-16-20,0.527170,0.686528
Zen,local3,8-10-11-16-20,0.457822,0.620963
Printing_area,local3,2-13-16-22-24,0.547371,0.704366
Zen,local3,1-11-12-18-20,0.508491,0.669415
Printing_area,local3,1-14-18-20-24,0.570168,0.723181
Zen,local3,11-16-18-20-22,0.498419,0.663074
Printing_area,local3,1-5-12-16-24,0.550822,0.707340
Zen,local3,12-16-18-19-23,0.469641,0.632685
Printing_area,local3,1-12-20-23-24,0.569234,0.719397
Printing_area,local3,3-12-16-20-24,0.551851,0.707237
Zen,local3,9-11-16-18-20,0.503107,0.667375
Printing_area,local3,1-10-15-17-24,0.546782,0.704645
Zen,local3,3-11-12-16-18,0.477681,0.637057
Printing_area,local3,1-12-16-23-24,0.573187,0.725067
Zen,local3,12-14-16-18-20,0.469192,0.633786
Printing_area,local3,1-12-15-16-24,0.573335,0.726605
Zen,local3,12-16-18-19-20,0.468249,0.631452
Printing_area,local3,12-16-20-21-24,0.562341,0.713563
Zen,local3,6-12-16-18-20,0.359722,0.524656
Printing_area,local3,1-12-16-20-22,0.574029,0.725091
Zen,local3,6-8-16-18-20,0.342194,0.502148
Printing_area,local3,1-16-20-22-24,0.551285,0.708254
Zen,local3,9-11-12-18-21,0.474154,0.639725
Printing_area,local3,1-9-11-20-24,0.551037,0.705195
Zen,local3,7-11-12-14-15,0.435301,0.604804
Printing_area,local3,1-12-16-20-21,0.582229,0.732722
Zen,local3,11-12-16-17-20,0.512555,0.673687
Printing_area,local3,16-17-20-23-24,0.528878,0.687123
Zen,local3,3-8-12-16-18,0.438166,0.592968
Printing_area,local3,1-12-19-20-24,0.582094,0.730065
Zen,local3,1-10-12-18-20,0.495242,0.657871
Printing_area,local3,1-7-12-16-20,0.559954,0.715236
Printing_area,local3,1-4-12-20-22,0.489350,0.649276
Zen,local3,8-10-12-16-18,0.453225,0.613376
Printing_area,local3,1-10-12-16-24,0.582527,0.734081
Zen,local3,10-11-12-16-18,0.488865,0.649239
Printing_area,local3,1-3-9-12-16,0.458940,0.613602
Zen,local3,11-12-14-16-20,0.505599,0.665831
Printing_area,local3,0-12-16-20-24,0.545380,0.701755
Zen,local3,0-16-18-20-23,0.471770,0.635619
Printing_area,local3,0-1-12-20-21,0.497916,0.660333
Zen,local3,5-11-16-17-24,0.456764,0.618446
Printing_area,local3,1-3-12-17-21,0.484703,0.640170
Zen,local3,12-16-18-19-21,0.460307,0.622794
Printing_area,local3,1-11-17-20-24,0.573587,0.726551
Zen,local3,11-16-18-20-23,0.512956,0.675600
Printing_area,local3,0-1-14-18-20,0.435793,0.597482
Zen,local3,1-12-16-18-20,0.495261,0.659206
Printing_area,local3,1-8-10-12-16,0.557075,0.711215
Zen,local3,11-14-16-18-20,0.515013,0.676988
Printing_area,local3,1-11-12-16-24,0.583852,0.735014
Zen,local3,1-2-3-12-18,0.449906,0.610565
Printing_area,local3,1-3-6-10-24,0.491609,0.651607
Printing_area,local3,1-7-10-20-24,0.533754,0.690823
Zen,local3,6-7-11-20-22,0.357340,0.522609
Printing_area,local3,1-7-12-16-24,0.532817,0.691121
Zen,local3,4-11-16-18-20,0.390566,0.545723
Printing_area,local3,1-12-16-17-20,0.576622,0.729321
Zen,local3,8-11-12-18-20,0.469798,0.631822
Printing_area,local3,1-10-18-20-24,0.561700,0.717464
Zen,local3,0-2-11-12-21,0.490944,0.656784
Printing_area,local3,3-11-16-22-24,0.517202,0.677036
Zen,local3,12-16-20-22-24,0.475701,0.640355
Printing_area,local3,1-12-13-20-24,0.587502,0.734657
Zen,local3,9-10-12-16-19,0.462022,0.628486
Printing_area,local3,1-12-13-20-21,0.579714,0.728757
Zen,local3,2-6-12-18-20,0.400869,0.569421
Printing_area,local3,1-5-12-20-24,0.550995,0.704758
Zen,local3,9-18-19-20-21,0.471428,0.638159
Printing_area,local3,1-6-12-13-20,0.541982,0.697689
Printing_area,local3,1-13-20-23-24,0.553832,0.705002
Zen,local3,5-11-12-16-18,0.473169,0.634494
Printing_area,local3,11-12-13-16-18,0.550664,0.701396
Zen,local3,2-8-11-12-20,0.506261,0.669638
Printing_area,local3,1-12-13-22-24,0.560850,0.713238
Zen,restart3,2-10-12-13-22,0.374012,0.523114
Printing_area,local3,12-13-20-23-24,0.546984,0.694887
Zen,local3,5-9-12-13-17,0.417515,0.570933
Printing_area,local3,1-11-12-16-18,0.574011,0.727257
Zen,local3,8-9-13-16-18,0.399099,0.549055
Printing_area,local3,1-7-10-17-20,0.537234,0.695918
Zen,local3,5-9-10-12-13,0.416093,0.571165
