scene,condition,miou,f1,training_plus_seal_seconds,process_wall_seconds,root_births
Cantina,baseline,0.43928554619635807,0.5820565853055657,35.665537376422435,54.161654739873484,2543
Cantina,combined,0.44189867105147707,0.5842576134470322,17.84487927821465,36.14991941512562,2564
Garden,baseline,0.49660077841099365,0.6532379061062646,40.82106866501272,58.21318192384206,2232
Garden,combined,0.4966114150527596,0.6532147213969712,18.86615020991303,36.085438763024285,2224
