scene,variant,norm,task,n_frames,auprc,auroc,effect_size,fp_rejection_at_recall0.95,fp_rejection_at_recall0.99,kept_frac_at_recall0.95,kept_frac_at_recall0.99,mean_fp,mean_separation,mean_tp,median_fp,median_tp,n_neg,n_pos,precision_at_recall0.95,precision_at_recall0.99,prevalence,top10_fp_retained,top10_iou,top10_precision,top10_recall,top10_tp_retained,top1_fp_retained,top1_iou,top1_precision,top1_recall,top1_tp_retained,top20_fp_retained,top20_iou,top20_precision,top20_recall,top20_tp_retained,top30_fp_retained,top30_iou,top30_precision,top30_recall,top30_tp_retained,top50_fp_retained,top50_iou,top50_precision,top50_recall,top50_tp_retained,top5_fp_retained,top5_iou,top5_precision,top5_recall,top5_tp_retained
Cantina,V0_verification,raw,tp_vs_fp,25,0.7971940208099153,0.5145359195812926,-0.2034512748838946,0.05413383037467362,0.0034011017074496806,0.9516398886161955,0.9913447464896932,0.13157280936837196,-0.024444599002599716,0.10712821036577225,0.12297789022326469,0.10069852337241172,5060.16,26666.16,0.8239367426098542,0.8236261072115512,0.8246157932329914,0.15583364155706947,0.07816085872664194,0.6857427978380772,0.07990353529435745,0.07990353529435745,0.024553529018589555,0.006854525511018513,0.5822693065714694,0.006868332276472584,0.006868332276472584,0.2680375685665677,0.16432395339906183,0.7298472344482431,0.17135483661869647,0.17135483661869647,0.35333251865849236,0.2539180468958541,0.7600113230851246,0.26888050458785334,0.26888050458785334,0.49199350604584696,0.43832490330813884,0.8069476500887174,0.4827435768722046,0.4827435768722046,0.09180404893168821,0.03678660724214573,0.6417888715998334,0.03724794845112757,0.03724794845112757
Cantina,V0_verification,raw,gt_all_pixels,25,0.54150196818785,0.0959653132611663,,0.5680644917981872,0.25936406748065655,0.4681093754374177,0.7587226001511717,,,,,,529819.4,41716.6,0.19937997336453062,0.10549646883451766,0.07299032781837014,0.05438831267873895,0.3920275391344808,0.4898680757252336,0.7028939443383794,0.7028939443383794,0.004403965995023814,0.08770242362892476,0.5879965004374452,0.09294942313047658,0.09294942313047658,0.15052892843803198,0.2785413795441759,0.29882999291381984,0.8424942838335164,0.8424942838335164,0.254646624372694,0.20325027395673032,0.21097905646181933,0.8870670638658467,0.8870670638658467,0.4661953142647713,0.13269115075330795,0.13467540102460737,0.9353623188469404,0.9353623188469404,0.020250012187065566,0.35441097076636585,0.6194730027644609,0.47122341073159923,0.47122341073159923
Cantina,V0_verification,alpha,tp_vs_fp,25,0.7871886682974428,0.5490257782038035,-0.3213549886467344,0.03947244974360733,0.001087586113416581,0.9535423434528384,0.9916355619462303,0.1388796055316925,-0.030054048746824265,0.10882555678486824,0.12959498837590216,0.10245077669620514,5060.16,26666.16,0.8222225316246096,0.8233757285998545,0.8246157932329914,0.17162164703094376,0.0755693118412268,0.6648088971891647,0.07741922126396436,0.07741922126396436,0.026313043992518804,0.006578021782842476,0.5584975435200775,0.00659323469390922,0.00659323469390922,0.288332154069689,0.16111725129679982,0.7171573848064687,0.16845861576687274,0.16845861576687274,0.3825551809920753,0.24818506429094256,0.7463771199384346,0.2639354761395199,0.2639354761395199,0.5302609770568826,0.42974664190362427,0.7959704390959723,0.47599365248092973,0.47599365248092973,0.0967594832945727,0.035858356745091004,0.6267095801162393,0.03632984619387449,0.03632984619387449
Cantina,V0_verification,alpha,gt_all_pixels,25,0.06792101364123168,0.6460122930557363,,0.24588259207407667,0.15391668177297313,0.7671499258139469,0.8563521457965904,,,,,,529819.4,41716.6,0.08988828773082,0.08562230788122172,0.07299032781837014,0.10398202142028724,0.020483572894065306,0.03659236448892466,0.04683621319972939,0.04683621319972939,0.009715852043951175,0.012738605298966034,0.09877165354330707,0.01471179592639147,0.01471179592639147,0.209484907061162,0.02143655449111051,0.02975985722659155,0.07578031526786169,0.07578031526786169,0.3155889834808857,0.020437070964767958,0.025672543610500344,0.09818508515543023,0.09818508515543023,0.5269227524558775,0.02090086562754444,0.023973293020912067,0.1520970674393283,0.1520970674393283,0.05124807441270278,0.020011630168991306,0.0500794345102705,0.033186039346770425,0.033186039346770425
Cantina,U0_uncertainty,raw,tp_vs_fp,25,0.7632030323080917,0.5989668194448623,-0.43273381777170483,0.08739992910970802,0.02385885516144135,0.9458160621391738,0.9883294744451292,0.6272665786743165,-0.04510824918746948,0.5821583294868469,0.6351015758514404,0.5779674315452575,5060.16,26666.16,0.8287174314994072,0.8261238719764851,0.8246157932329914,0.23354776161305243,0.06652351233358322,0.5892138944731767,0.06885123088960324,0.06885123088960324,0.035922621016905,0.005104066167624261,0.4318560602662826,0.0051176151915763805,0.0051176151915763805,0.36417188840129344,0.1472928835522658,0.6649088368788978,0.1560618484759228,0.1560618484759228,0.4642485402520063,0.23278371213433607,0.7096735776589579,0.2509180214023341,0.2509180214023341,0.6062746909955468,0.41350912473603585,0.7747725715915296,0.46301096742367376,0.46301096742367376,0.1447388084888662,0.029637152466578675,0.5162826702592438,0.03020297529084924,0.03020297529084924
Cantina,U0_uncertainty,raw,gt_all_pixels,25,0.5822522283061783,0.08257820501299941,,0.588528090441776,0.2664226184833493,0.4491224349822233,0.7521286498138351,,,,,,529819.4,41716.6,0.22057479664227558,0.10811661375838084,0.07299032781837014,0.04920967028807345,0.4457298715331844,0.537346117507086,0.772850944195427,0.772850944195427,0.004882072343322011,0.08343224737231109,0.5445389326334208,0.09005345366298315,0.09005345366298315,0.14862785618841579,0.288650126794853,0.30736875256983387,0.8637405166935145,0.8637405166935145,0.2535865648251029,0.20682380087968133,0.21410583164684682,0.8971889221432854,0.8971889221432854,0.46576279038675833,0.13354646332250414,0.1354344783180762,0.939389056775857,0.939389056775857,0.01709524873867757,0.4057865106657478,0.6785442838646462,0.528746686476448,0.528746686476448
Cantina,U0_uncertainty,alpha,tp_vs_fp,25,0.7415532165170791,0.6805479110374124,-0.763438175781992,0.02346364999705224,0.0007516201037363235,0.9554745981595419,0.9916617103132286,0.6707613301277161,-0.07756120443344117,0.5932001256942749,0.6786543655395508,0.5850342750549317,5060.16,26666.16,0.8204458664070111,0.8233501203899316,0.8246157932329914,0.25898844235007895,0.06226097153008402,0.5546932770195911,0.06467680030233704,0.06467680030233704,0.03616050877632138,0.00526138503008554,0.4415247211194423,0.0052757214107706065,0.0052757214107706065,0.41720468013630596,0.1380882967696565,0.6294522873636901,0.1475675658645288,0.1475675658645288,0.5379447792560745,0.2187590935339929,0.6757051523693782,0.23867584665404754,0.23867584665404754,0.6963863439986959,0.39412965660011134,0.7489929578433948,0.4472308934741246,0.4472308934741246,0.1557430568229918,0.028090691064734656,0.4898758302893473,0.02868896953057373,0.02868896953057373
Cantina,U0_uncertainty,alpha,gt_all_pixels,25,0.05543736679493933,0.6485366685842782,,0.245560538173001,0.15391033109242394,0.7674440805128636,0.856358164665043,,,,,,529819.4,41716.6,0.08984849393664858,0.08562172516547617,0.07299032781837014,0.10471888054985909,0.01522704101780313,0.029529341778353223,0.03474213200828661,0.03474213200828661,0.010470808328135073,0.0028710503798318066,0.029340332458442694,0.0033119200089880303,0.0033119200089880303,0.20922447930086752,0.021173221845560485,0.030580104455545154,0.07260144071548712,0.07260144071548712,0.3145114012629927,0.022364859354323433,0.028629717545097716,0.10346706085274249,0.10346706085274249,0.5252704390733379,0.02324461539674978,0.026784804456762124,0.16683573019097422,0.16683573019097422,0.05232434294864091,0.010412063807607685,0.03007453546558421,0.017532895424371555,0.017532895424371555
Cantina,S0_support,raw,tp_vs_fp,25,0.9007466301940055,0.3042523557312515,0.7723086911629111,0.2702469513005864,0.16075756980981917,0.8972527638667729,0.9473112125993057,0.8445422649383545,0.08437635898590087,0.9289186239242554,0.8779426729679107,0.9509487009048462,5060.16,26666.16,0.8738930411892042,0.8625414598067561,0.8246157932329914,0.05896847267323263,0.10997865030942153,0.9054426251922933,0.1113312697461793,0.1113312697461793,0.007754558050350838,0.010953317353981558,0.8882614899024165,0.010968037684976797,0.010968037684976797,0.12602655359013348,0.2159973086299144,0.9002704013241966,0.22142384439550739,0.22142384439550739,0.1754248458949249,0.3220699345048239,0.904488215535554,0.3335951334307694,0.3335951334307694,0.2758940981385634,0.5275802096386574,0.9078831462315854,0.5577019655302512,0.5577019655302512,0.027600178227083244,0.055886266036649104,0.9129783334952473,0.05620151042015473,0.05620151042015473
Cantina,S0_support,raw,gt_all_pixels,25,0.7413083825366492,0.07408230796303006,,0.5963383447391026,0.26836224300890876,0.44168339352201785,0.7503512639623751,,,,,,529819.4,41716.6,0.23342068397531152,0.10907706200065827,0.07299032781837014,0.04790741279234503,0.46052392013265686,0.5494376596563669,0.7931521496217955,0.7931521496217955,0.0011221108614627618,0.14774002110348028,0.8942502187226598,0.1522295834793361,0.1522295834793361,0.14810118283069934,0.2914242484286813,0.3097360616585161,0.8700516323679071,0.8700516323679071,0.2533524776935109,0.2076110847273038,0.2148063991228326,0.9002118999098037,0.9002118999098037,0.4657907050900429,0.13349049043420785,0.13539052658100278,0.9397387168913436,0.9397387168913436,0.011229720919471305,0.4970123963678741,0.786901354235924,0.612977545941594,0.612977545941594
