scene,variant,norm,task,n_frames,auprc,auroc,effect_size,fp_rejection_at_recall0.95,fp_rejection_at_recall0.99,kept_frac_at_recall0.95,kept_frac_at_recall0.99,mean_fp,mean_separation,mean_tp,median_fp,median_tp,n_neg,n_pos,precision_at_recall0.95,precision_at_recall0.99,prevalence,top10_fp_retained,top10_iou,top10_precision,top10_recall,top10_tp_retained,top1_fp_retained,top1_iou,top1_precision,top1_recall,top1_tp_retained,top20_fp_retained,top20_iou,top20_precision,top20_recall,top20_tp_retained,top30_fp_retained,top30_iou,top30_precision,top30_recall,top30_tp_retained,top50_fp_retained,top50_iou,top50_precision,top50_recall,top50_tp_retained,top5_fp_retained,top5_iou,top5_precision,top5_recall,top5_tp_retained
Pots,I0_raw_c,raw,tp_vs_fp,25,0.8633414157360358,0.19978064015530123,1.1791712079470587,0.3751164543678508,0.13374699968742873,0.8237355309588006,0.9452322205141186,0.6754924416542053,0.09525399208068848,0.7707464337348938,0.6965955567359924,0.7802451586723328,8015.84,13993.04,0.7335798300708005,0.6671641523148941,0.6367097360836664,0.017289486915664395,0.14925636957197916,0.9391230236514692,0.15072570781054742,0.15072570781054742,0.0005361565375116992,0.015756557335744558,0.9813234376570077,0.01576098553509808,0.01576098553509808,0.05413423942241911,0.2808066460206928,0.9037804444657538,0.2897424023562845,0.2897424023562845,0.10428958385261343,0.39531779115392446,0.8752912309301683,0.4201181239687367,0.4201181239687367,0.22742794120237192,0.5876976292412551,0.836639803300057,0.6681463291929123,0.6681463291929123,0.007424802227125261,0.07576626862535296,0.9479259747685883,0.07607928181074117,0.07607928181074117
Pots,I0_raw_c,raw,gt_all_pixels,25,0.8481222636687545,0.005296798762980306,,0.9848810513873731,0.9172530437724373,0.03923722912966252,0.10545960923623446,,,,,,548462.52,14537.48,0.6490810771310427,0.4811339570731523,0.025821456483126108,0.07630551806827007,0.2554479195600263,0.2561911190053286,0.9944377706876665,0.9944377706876665,0.0011915543604083274,0.34493488196089656,0.8837513321492007,0.36364325792696406,0.36364325792696406,0.17887681410282943,0.12838837132635336,0.128503730017762,0.9968355439998398,0.9968355439998398,0.2815052692887543,0.08571744576784761,0.08575772646536413,0.9975524104288078,0.9975524104288078,0.4867868499912399,0.0515034812308473,0.051513463587921846,0.9983233611937465,0.9983233611937465,0.02550747311615642,0.4933840958334001,0.5021698046181172,0.9788434341347575,0.9788434341347575
Pots,I0_raw_c,alpha,tp_vs_fp,25,0.8545515217610837,0.21621021045826758,1.1288082482505368,0.363132893373123,0.1977306857869652,0.8236542565787136,0.9062939439670056,0.7178509211540223,0.0633687424659729,0.7812196636199951,0.7235686993598938,0.7828917670249939,8015.84,13993.04,0.7353548896831097,0.6961183824387653,0.6367097360836664,0.018017115592577074,0.14880790355354095,0.9365902550491394,0.15032842709086583,0.15032842709086583,0.0005225652798980076,0.01576534122000252,0.9818379487723999,0.015769633104268526,0.015769633104268526,0.05657003636870771,0.2789660769319595,0.8993526850997975,0.2882651046517392,0.2882651046517392,0.1096487234014329,0.3915768274534465,0.869188184841761,0.41723959321793436,0.41723959321793436,0.2524635477684725,0.5692662825167666,0.8195894429839652,0.6548200529852004,0.6548200529852004,0.00747156384794108,0.0757489665751594,0.9476508080102661,0.07606231670955702,0.07606231670955702
Pots,I0_raw_c,alpha,gt_all_pixels,25,0.7328039058431969,0.009622809321225955,,0.9810081975703616,0.8397183089966361,0.04299545293072824,0.18167801065719363,,,,,,548462.52,14537.48,0.5732981961530969,0.3652045394640446,0.025821456483126108,0.07630948707981743,0.2555207776205306,0.256135701598579,0.9921933126246469,0.9921933126246469,0.0021475824837363226,0.30148242422905547,0.7908561278863232,0.3283365532346369,0.3283365532346369,0.17894528326518735,0.12802537743721956,0.12816660746003553,0.9930171316456798,0.9930171316456798,0.28158230249771976,0.08544857117756138,0.08550645352279455,0.9938469592115098,0.9938469592115098,0.48684996935382896,0.051374021629540946,0.05139083481349911,0.9958492091561618,0.9958492091561618,0.026078107304859873,0.4770226108357482,0.4911857904085258,0.963620364371446,0.963620364371446
Pots,I1_beta_mean,raw,tp_vs_fp,25,0.8761860229936981,0.19130955456831766,0.9846876535009511,0.27254644644151915,0.07811822318308,0.8627451057043193,0.9660418094927085,0.8133581137657165,0.08533115863800049,0.898689272403717,0.8467865395545959,0.9211644339561462,8015.84,13993.04,0.6990279477061493,0.6527224482009834,0.6367097360836664,0.01883949536272311,0.1488570723692151,0.9349228403518143,0.15029590891334607,0.15029590891334607,0.0012634272784098045,0.015356164366230296,0.9563094174240406,0.015366441596382332,0.015366441596382332,0.038279401529235486,0.29340196643776073,0.9328630257142159,0.2995491258673368,0.2995491258673368,0.07169272588075162,0.4225578251913655,0.9150267325940885,0.4401147628484307,0.4401147628484307,0.19577616106296156,0.6080403950353985,0.8563967342727107,0.6821701607826641,0.6821701607826641,0.009834886101181951,0.07452198380272018,0.9317617930819546,0.07489385363271614,0.07489385363271614
Pots,I1_beta_mean,raw,gt_all_pixels,25,0.8591387247876832,0.005212766704453828,,0.98300485480261,0.9222575118501064,0.041060319715808175,0.10065172291296624,,,,,,548462.52,14537.48,0.6183555461343938,0.45946477615074166,0.025821456483126108,0.0763049746711982,0.2554521870295271,0.2561968028419183,0.9945024510887345,0.9945024510887345,0.0008414615270503491,0.36751817567797246,0.9180319715808171,0.38033962813081595,0.38033962813081595,0.1788691394795518,0.12843188495985558,0.128540674955595,0.9970458572883097,0.9970458572883097,0.28149611138578995,0.08575041965650504,0.0857870929544109,0.9977951657769711,0.9977951657769711,0.4867798898884145,0.051517888742032676,0.05152682060390764,0.9984927957062248,0.9984927957062248,0.025650539263825607,0.48921734655355664,0.49942166962699824,0.9752623073518751,0.9752623073518751
Pots,I1_beta_mean,alpha,tp_vs_fp,25,0.867506292932651,0.21258890517710732,0.8597648967281856,0.22232381327794531,0.10768814024620753,0.871430254615238,0.942214286427204,0.8646002984046937,0.04625778913497925,0.9108580875396729,0.8752652525901794,0.9234743571281433,8015.84,13993.04,0.6958458068825931,0.6670251701156471,0.6367097360836664,0.019035181855674998,0.1486530953290219,0.9340221028223605,0.15012435721373132,0.15012435721373132,0.001235028455954564,0.015364437800100854,0.9570465877094364,0.015374594033969641,0.015374594033969641,0.03995404757707007,0.292093000142476,0.9298066978793331,0.29853355312025587,0.29853355312025587,0.07379749705197715,0.4203371127967836,0.912124187112721,0.4385071086608947,0.4385071086608947,0.20910199498349413,0.597779003570012,0.8471167659925976,0.6748008161886015,0.6748008161886015,0.009951704770748956,0.07442169569768635,0.930826514104316,0.07480455476039234,0.07480455476039234
Pots,I1_beta_mean,alpha,gt_all_pixels,25,0.8129391602831818,0.006369027806414989,,0.9761235486164703,0.9447468790230055,0.04773626998223802,0.07903104795737123,,,,,,548462.52,14537.48,0.5204130261660742,0.42004117492259563,0.025821456483126108,0.07621733747970685,0.2565927592415352,0.25704014209591475,0.9969535844044369,0.9969535844044369,0.0010851220456333216,0.35406890400172797,0.8942664298401419,0.370212132812622,0.370212132812622,0.1788224554495782,0.12869917799582126,0.12876483126110125,0.9982332369486516,0.9982332369486516,0.28146427148510605,0.08586563628114537,0.08588892835997632,0.998576902385719,0.998576902385719,0.4867633020976296,0.051552222261825084,0.05155865008880995,0.9988902184340214,0.9988902184340214,0.02639894067729054,0.4681491164665729,0.4849733570159857,0.9538199179755843,0.9538199179755843
Pots,I2_mean_support,raw,tp_vs_fp,25,0.8753574379931358,0.18913123437693127,1.0192294064390692,0.3093528479058099,0.17670358503458738,0.8429778247256777,0.9130769758627639,0.7739509320259095,0.12215255498886109,0.8961034870147705,0.801810622215271,0.9184639024734497,8015.84,13993.04,0.7186476606914252,0.6915377914044004,0.6367097360836664,0.020446675776653298,0.14787944694653912,0.9294166534782433,0.14942972629164522,0.14942972629164522,0.0013100046311356423,0.015333668209876854,0.9547877135022553,0.015344177714311758,0.015344177714311758,0.03999283944164962,0.29212855473684934,0.9297968759920157,0.29854530324337425,0.29854530324337425,0.07516014247041249,0.4201009429681117,0.911133282390281,0.4383119668815547,0.4383119668815547,0.1987613982494393,0.6060400664744678,0.8545203995071801,0.6808326795954148,0.6808326795954148,0.011082319187888849,0.07381412890147761,0.9232445124131852,0.07422767676478767,0.07422767676478767
Pots,I2_mean_support,raw,gt_all_pixels,25,0.8601815590429644,0.0048265571305931045,,0.986007028831466,0.9302479567647325,0.03812866785079929,0.09288959147424514,,,,,,548462.52,14537.48,0.6556835087137857,0.49001752981597213,0.025821456483126108,0.07626547838227964,0.25596406494213136,0.2565769094138543,0.995639291252011,0.995639291252011,0.0008807689765936254,0.3653403735879746,0.914195381882771,0.37871628735991414,0.37871628735991414,0.17885693129631952,0.12850163656745772,0.1285992895204263,0.9973571095373819,0.9973571095373819,0.2814908558468,0.08576940118301606,0.08580390763765541,0.9979256230113487,0.9979256230113487,0.48677818638038095,0.05152141470884881,0.051530088809946716,0.9985334993275673,0.9985334993275673,0.025551690981876304,0.49193550305167316,0.501355595026643,0.9799167909917371,0.9799167909917371
