scene,context,candidate,combo,miou_query,f1_query
Porch,S1,24,12-24,0.354224,0.494290
Porch,S2,-1,6-18,0.383173,0.539920
Porch,S2,0,0-6-18,0.387877,0.539836
Porch,S2,1,1-6-18,0.504161,0.640212
Porch,S2,2,2-6-18,0.479807,0.625917
Porch,S2,3,3-6-18,0.472789,0.622008
Porch,S2,4,4-6-18,0.447996,0.611291
Porch,S2,5,5-6-18,0.461952,0.627568
Porch,S2,7,6-7-18,0.371616,0.529434
Porch,S2,8,6-8-18,0.500640,0.640851
Porch,S2,9,6-9-18,0.488964,0.630217
Porch,S2,10,6-10-18,0.481462,0.623680
Porch,S2,11,6-11-18,0.475962,0.619922
Porch,S2,12,6-12-18,0.416134,0.570423
Porch,S2,13,6-13-18,0.392839,0.550133
Porch,S2,14,6-14-18,0.479179,0.622650
Porch,S2,15,6-15-18,0.470851,0.614826
Porch,S2,16,6-16-18,0.416511,0.568963
Porch,S2,17,6-17-18,0.477569,0.625716
Porch,S2,19,6-18-19,0.484377,0.636876
Porch,S2,20,6-18-20,0.497800,0.650188
Porch,S2,21,6-18-21,0.506285,0.663065
Porch,S2,22,6-18-22,0.492072,0.648679
Porch,S2,23,6-18-23,0.496192,0.650218
Porch,S2,24,6-18-24,0.463025,0.617042
Garden,S0,0,0,0.290145,0.442762
Garden,S0,1,1,0.407627,0.571258
Garden,S0,2,2,0.402433,0.569118
Garden,S0,3,3,0.277780,0.427873
Garden,S0,4,4,0.340563,0.502368
Garden,S0,5,5,0.345632,0.506935
Garden,S0,6,6,0.379667,0.544158
Garden,S0,7,7,0.274617,0.419227
Garden,S0,9,9,0.309831,0.468533
Garden,S0,8,8,0.414038,0.579969
Garden,S0,10,10,0.374504,0.539733
Garden,S0,11,11,0.270015,0.415742
Garden,S0,12,12,0.371753,0.539813
Garden,S0,13,13,0.300608,0.458488
Garden,S0,14,14,0.410685,0.575920
Garden,S0,15,15,0.348989,0.511055
Garden,S0,17,17,0.389914,0.555167
Garden,S0,18,18,0.442618,0.608393
Garden,S0,16,16,0.382701,0.548469
Garden,S0,19,19,0.380467,0.543757
Garden,S0,20,20,0.372227,0.537844
Garden,S0,21,21,0.358946,0.521990
Garden,S0,22,22,0.326071,0.486085
Garden,S0,23,23,0.251542,0.396563
Garden,S0,24,24,0.342743,0.504200
Garden,S1,-1,12,0.371752,0.539812
Garden,S1,0,0-12,0.340632,0.503149
Garden,S1,1,1-12,0.474842,0.639315
Garden,S1,2,2-12,0.462136,0.629873
Garden,S1,3,3-12,0.339872,0.502870
Garden,S1,4,4-12,0.434679,0.602827
Garden,S1,5,5-12,0.413686,0.580770
Garden,S1,6,6-12,0.458587,0.626540
Garden,S1,7,7-12,0.390018,0.555838
Garden,S1,9,9-12,0.371277,0.539142
Garden,S1,8,8-12,0.469974,0.636631
Garden,S1,10,10-12,0.438610,0.606863
Garden,S1,11,11-12,0.371305,0.535592
Garden,S1,14,12-14,0.461825,0.631312
Garden,S1,13,12-13,0.431247,0.601887
Garden,S1,16,12-16,0.444840,0.614217
Garden,S1,15,12-15,0.443436,0.613742
Garden,S1,17,12-17,0.450442,0.620105
Garden,S1,18,12-18,0.464102,0.633373
Garden,S1,19,12-19,0.460932,0.630491
Garden,S1,21,12-21,0.439959,0.609432
Garden,S1,20,12-20,0.457270,0.626741
Garden,S1,24,12-24,0.445883,0.616170
Garden,S1,22,12-22,0.444400,0.614705
Garden,S1,23,12-23,0.421085,0.590643
Garden,S2,0,0-6-18,0.456181,0.625490
Garden,S2,-1,6-18,0.474815,0.642136
Garden,S2,1,1-6-18,0.527272,0.689389
Garden,S2,2,2-6-18,0.494025,0.659737
Garden,S2,3,3-6-18,0.468240,0.637077
Garden,S2,4,4-6-18,0.523837,0.687083
Garden,S2,5,5-6-18,0.513611,0.678266
Garden,S2,7,6-7-18,0.495163,0.659808
Garden,S2,8,6-8-18,0.496982,0.662230
Garden,S2,9,6-9-18,0.490993,0.655849
Garden,S2,10,6-10-18,0.472516,0.639679
Garden,S2,11,6-11-18,0.496709,0.661807
Garden,S2,12,6-12-18,0.506609,0.671379
Garden,S2,13,6-13-18,0.480095,0.644280
Garden,S2,14,6-14-18,0.521822,0.685245
Garden,S2,15,6-15-18,0.482425,0.649319
Garden,S2,16,6-16-18,0.493207,0.658849
Garden,S2,17,6-17-18,0.461081,0.628439
Garden,S2,20,6-18-20,0.523127,0.686255
Garden,S2,21,6-18-21,0.525848,0.688618
Garden,S2,19,6-18-19,0.532360,0.694337
Garden,S2,22,6-18-22,0.518050,0.681588
Garden,S2,23,6-18-23,0.483611,0.645880
Garden,S2,24,6-18-24,0.520154,0.683757
